20,"select top # ra, dec, z, (# - #*log1# (spectroFlux_g) ) from specobj where (ra between # and #.) and (dec between # and #) and class = # and spectroFlux_g > #"
2019-04-07 03:15:00,1
2019-04-07 03:16:00,1
2019-04-07 03:37:00,1
2019-04-07 16:19:00,2
2019-04-08 00:53:00,1
2019-04-10 23:22:00,3
2019-04-10 23:23:00,1
2019-04-10 23:24:00,1
2019-04-10 23:25:00,1
2019-04-11 18:12:00,1
2019-04-11 18:13:00,1
2019-04-11 19:35:00,1
2019-04-11 19:42:00,1
2019-04-11 19:45:00,1
2019-04-23 02:25:00,1
2019-04-24 16:46:00,1
2019-05-02 19:08:00,1
