2,"select A.plateid, A.mjd, A.fiberid, A.spectrotype, A.z, A.subclass into mydb.MyTable_# from galspecInfo as A where A.z< # and A.subclass = #"
2019-01-25 15:16:00,1
2019-01-25 15:17:00,1
