2,"SELECT TOP # p.objid, p.ra, p.dec, p.flags_r, s.z as redshift FROM PhotoObj as p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE type = # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-05-21 14:41:00,1
2019-05-21 14:42:00,1
