13,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.subclass, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class = #"
2019-04-15 09:35:00,1
2019-04-17 08:59:00,1
2019-04-23 12:14:00,1
2019-05-06 11:08:00,1
2019-05-06 11:55:00,1
2019-05-06 17:50:00,1
2019-05-07 20:22:00,1
2019-05-07 20:23:00,4
2019-05-07 20:24:00,1
2019-05-07 20:47:00,1
