10,"SELECT TOP # r.objid, r.ra, r.dec, r.u, r.g, r.r, r.i, r.z, r.run, r.rerun, r.camcol, r.field, d.specobjid, d.class, d.z as redshift, d.plate, d.mjd, d.fiberid into mydb.x1#_research_project from PhotoObj AS r JOIN SpecObj AS d ON d.bestobjid = r.objid WHERE r.u BETWEEN # AND # AND g BETWEEN # AND # AND r BETWEEN # AND #"
2019-06-15 09:49:00,1
2019-06-15 09:53:00,1
2019-06-15 10:06:00,1
2019-06-15 10:11:00,1
2019-06-15 10:12:00,1
2019-06-15 10:14:00,1
2019-06-15 10:16:00,1
2019-06-15 10:17:00,1
2019-06-15 10:19:00,1
2019-06-15 10:31:00,1
