43,"SELECT TOP # survey, plate, mjd, fiberid, bestObjid, z FROM specObj WHERE class = # AND zWarning = # AND z> =# AND z< =# AND snMedian > # ORDER BY NEWID ()"
2019-07-04 18:28:00,1
2019-07-05 15:39:00,1
2019-07-07 17:22:00,1
2019-07-07 17:46:00,1
2019-08-01 19:15:00,1
2019-08-01 19:42:00,1
2019-11-09 17:52:00,1
2019-11-25 19:15:00,2
2019-11-28 18:41:00,1
2019-11-28 18:42:00,2
2019-11-28 18:44:00,1
2019-11-28 18:45:00,2
2019-12-08 17:43:00,1
2019-12-08 17:44:00,3
2019-12-08 17:49:00,4
2019-12-08 17:50:00,6
2019-12-08 17:51:00,3
2019-12-08 17:53:00,1
2019-12-08 17:54:00,3
2019-12-08 17:55:00,1
2019-12-08 17:56:00,2
2019-12-08 17:57:00,1
2019-12-08 18:01:00,2
2019-12-08 18:02:00,1
