4,"SELECT ra, dec, z, zErr, velDisp, velDispErr FROM SpecObj into MyDB.ASTR3#_Project_VelDisp WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND class = # AND subclass = # and zWarning = #"
2019-10-27 13:46:00,1
2019-10-27 13:47:00,1
2019-10-27 13:51:00,2
