34,"SELECT TOP # s.z, p.dered_u, p.dered_r FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE (class = #) AND s.z BETWEEN # AND # AND s.zwarning = #"
2019-05-18 15:24:00,2
2019-05-18 15:25:00,2
2019-05-18 15:26:00,2
2019-05-18 15:27:00,1
2019-05-18 15:28:00,1
2019-05-18 15:29:00,2
2019-05-18 15:30:00,1
2019-05-18 15:31:00,2
2019-05-18 15:32:00,1
2019-05-18 15:36:00,2
2019-05-18 15:37:00,1
2019-05-18 15:39:00,1
2019-05-18 15:41:00,2
2019-05-18 15:42:00,3
2019-05-18 15:43:00,2
2019-05-18 15:45:00,1
2019-05-18 15:46:00,3
2019-05-18 15:47:00,2
2019-05-18 15:48:00,2
2019-05-18 15:49:00,1
