1826,"SELECT objID, parentID, specObjID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i, cModelMag_z, cModelMagErr_u, cModelMagErr_g, cModelMagErr_r, cModelMagErr_i, cModelMagErr_z, petroMag_u, petroMag_g, petroMag_r, petroMag_i, petroMag_z, petroMagErr_u, petroMagErr_g, petroMagErr_r, petroMagErr_i, petroMagErr_z, petroRad_u, petroRad_g, petroRad_r, petroRad_i, petroRad_z, petroR5#_g, petroR5#_r, petroR5#_i, petroR9#_g, petroR9#_r, petroR9#_i, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, expAB_g, expAB_r, expAB_i, expMag_g, expMag_r, expMag_i, flags_u, flags_g, flags_r, flags_i, flags_z, flags, lnLExp_r, lnLDeV_r, type, fracDev_g, fracDev_r, fracDev_i, expRad_g, expRad_r, expRad_i FROM photoObjAll WHERE objID = #"
2019-07-11 15:19:00,59
2019-07-11 15:20:00,60
2019-07-11 15:21:00,60
2019-07-11 15:22:00,60
2019-07-11 15:23:00,60
2019-07-11 15:24:00,60
2019-07-11 15:25:00,60
2019-07-11 15:26:00,57
2019-07-11 15:27:00,60
2019-07-11 15:28:00,50
2019-07-11 15:29:00,22
2019-07-11 15:35:00,13
2019-07-11 15:36:00,19
2019-07-11 15:37:00,15
2019-07-11 15:38:00,59
2019-07-11 15:39:00,59
2019-07-11 15:40:00,60
2019-07-11 15:41:00,17
2019-07-11 15:42:00,12
2019-07-11 15:43:00,11
2019-07-11 15:44:00,59
2019-07-11 15:45:00,60
2019-07-11 15:46:00,59
2019-07-11 15:47:00,57
2019-07-11 15:48:00,58
2019-07-11 15:49:00,46
2019-07-11 15:50:00,4
2019-07-11 17:35:00,55
2019-07-11 17:36:00,42
2019-07-11 17:37:00,43
2019-07-11 17:38:00,43
2019-07-11 17:39:00,56
2019-07-11 17:40:00,60
2019-07-11 17:41:00,60
2019-07-11 17:42:00,60
2019-07-11 17:43:00,57
2019-07-11 17:44:00,60
2019-07-11 17:45:00,50
2019-07-11 17:46:00,22
2019-09-26 17:30:00,1
2019-10-02 17:13:00,1
