28,"select objID, ra, dec, psfmag_r from star where (ra between (#) and (#) or ra between (#) and (#) or ra between (#) and (#) ) and dec between (#) and (#) and psfmag_r < #"
2019-03-05 13:37:00,1
2019-03-05 13:47:00,1
2019-03-05 14:19:00,1
2019-03-05 14:22:00,1
2019-03-05 14:26:00,1
2019-03-08 12:21:00,1
2019-04-19 14:41:00,1
2019-04-19 14:42:00,2
2019-04-19 14:43:00,1
2019-04-19 14:45:00,1
2019-04-19 15:29:00,1
2019-04-19 15:37:00,1
2019-04-19 15:42:00,1
2019-04-20 18:26:00,1
2019-04-20 18:30:00,1
2019-04-20 18:37:00,1
2019-04-20 18:40:00,1
2019-04-24 14:51:00,1
2019-04-24 14:54:00,1
2019-04-24 15:12:00,1
2019-04-24 15:15:00,1
2019-04-24 16:43:00,1
2019-04-24 18:39:00,1
2019-04-24 18:43:00,1
2019-04-25 07:36:00,1
2019-04-25 07:39:00,1
2019-04-25 07:40:00,1
