3,"SELECT TOP # p.objid, p.ra, p.dec, s.specobjid, s.specClass, s.z FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-05-14 13:53:00,1
2019-05-14 13:57:00,1
2019-05-14 13:58:00,1
