3,"SELECT u.SN_name, u.ra, p.racat, u.dec, p.deccat, p.aid, p.pid, p.nsaid, p.elpetro_kcorrect_f, p.elpetro_kcorrect_n, elpetro_kcorrect_u, p.elpetro_kcorrect_g, elpetro_kcorrect_r, elpetro_kcorrect_i, p.elpetro_kcorrect_z FROM mydb.Host_Gals_SNf as u LEFT JOIN nsatlas as p on (ABS (p.racat-u.ra) < # AND ABS (p.deccat-u.dec) < #) ORDER BY u.SN_name asc INTO mydb.Host_Gals_SNf_kcorr"
2019-01-21 09:42:00,2
2019-01-21 10:13:00,1
