73587,"select P.objid, P.ra, P.dec, P.petroMag_r, P.petroMagErr_r, P.deVRad_r, P.petroRad_r, P.deVPhi_r, P.deVAB_r, P.rowc_r, P.colc_r, P.run, P.rerun, P.camcol, P.field from PhotoObjAll P where P.objid = #"
2019-01-03 16:04:00,2
2019-01-03 19:42:00,1
2019-01-05 13:13:00,2
2019-01-07 12:13:00,11
2019-01-08 20:00:00,36
2019-01-08 20:01:00,17
2019-01-08 20:02:00,17
2019-01-09 17:37:00,26
2019-01-09 17:38:00,27
2019-01-09 17:48:00,16
2019-01-10 15:01:00,3
2019-01-10 15:02:00,3
2019-01-10 15:09:00,9
2019-01-10 20:28:00,6
2019-01-10 20:29:00,6
2019-01-10 23:10:00,12
2019-01-10 23:11:00,15
2019-01-10 23:12:00,12
2019-01-10 23:13:00,12
2019-02-05 12:25:00,2
2019-02-05 19:48:00,10
2019-02-05 19:53:00,10
2019-02-05 21:40:00,68
2019-02-05 21:41:00,169
2019-02-05 21:42:00,113
2019-02-26 19:05:00,169
2019-02-26 19:06:00,177
2019-02-26 19:07:00,154
2019-02-26 19:12:00,61
2019-02-26 19:13:00,158
2019-02-26 19:14:00,175
2019-02-26 19:15:00,106
2019-03-14 12:35:00,139
2019-03-14 12:36:00,102
2019-03-14 12:37:00,176
2019-03-14 12:38:00,99
2019-03-14 12:39:00,1
2019-03-14 15:32:00,129
2019-03-14 15:33:00,177
2019-03-14 15:34:00,177
2019-03-14 15:35:00,18
2019-03-18 00:31:00,130
2019-03-18 00:32:00,175
2019-03-18 00:33:00,106
2019-03-18 00:34:00,4
2019-03-18 00:35:00,2
2019-03-18 00:36:00,1
2019-03-18 00:37:00,25
2019-03-18 00:38:00,57
2019-03-25 23:27:00,3
2019-03-28 18:12:00,11
2019-03-28 18:13:00,158
2019-03-28 18:14:00,176
2019-03-28 18:15:00,155
2019-03-29 00:59:00,3
2019-03-29 01:53:00,48
2019-03-29 01:54:00,52
2019-03-29 01:57:00,17
2019-03-29 01:58:00,83
2019-03-29 02:00:00,153
2019-03-29 02:01:00,153
2019-03-29 02:02:00,129
2019-03-29 02:03:00,574
2019-03-29 02:04:00,282
2019-03-29 02:05:00,384
2019-03-29 02:31:00,95
2019-03-29 02:32:00,5
2019-03-29 10:28:00,150
2019-03-29 10:29:00,183
2019-03-29 10:30:00,167
2019-04-02 17:47:00,20
2019-04-02 17:48:00,175
2019-04-02 17:49:00,84
2019-04-02 17:50:00,124
2019-04-02 17:51:00,178
2019-04-02 17:52:00,17
2019-04-02 17:53:00,62
2019-04-02 17:54:00,174
2019-04-02 17:55:00,163
2019-04-02 17:56:00,101
2019-04-02 17:57:00,170
2019-04-02 17:58:00,176
2019-04-02 17:59:00,154
2019-04-02 18:00:00,145
2019-04-02 18:01:00,186
2019-04-02 18:02:00,189
2019-04-02 18:03:00,4
2019-04-03 14:07:00,227
2019-04-03 14:08:00,692
2019-04-03 14:09:00,352
2019-04-03 14:10:00,706
2019-04-03 14:11:00,193
2019-04-03 14:12:00,558
2019-04-03 14:13:00,370
2019-04-03 14:14:00,796
2019-04-03 14:15:00,416
2019-04-03 14:16:00,646
2019-04-03 14:17:00,472
2019-04-03 14:18:00,88
2019-04-03 15:47:00,72
2019-04-03 15:48:00,140
2019-04-10 00:49:00,1
2019-04-10 00:57:00,3
2019-04-10 11:26:00,3
2019-04-12 16:13:00,2
2019-04-13 01:25:00,100
2019-04-13 01:26:00,171
2019-04-13 01:27:00,175
2019-04-13 01:28:00,54
2019-04-13 01:44:00,15
2019-04-13 01:45:00,351
2019-04-13 01:46:00,797
2019-04-13 01:47:00,809
2019-04-13 01:48:00,329
