2043,"select r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip, r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax, r.mu, r.nu, r.incl, r.node, r.a, r.b, r.c, r.d, r.e, r.f, f.quality, f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z, dbo.fGetUrlFitsCFrame (f.fieldId, #) as u_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as g_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as r_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as i_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as z_url from dbo.fGetNearbyFrameEq (#, #E-#, #, #) n, Frame r, Field f where f.fieldId = r.fieldId and r.fieldId = n.fieldId and r.zoom = #"
2019-01-01 16:15:00,15
2019-01-02 08:40:00,5
2019-01-02 08:41:00,5
2019-01-02 08:42:00,5
2019-01-04 02:39:00,10
2019-01-04 02:40:00,5
2019-01-05 01:22:00,15
2019-01-05 15:17:00,1
2019-01-05 15:19:00,1
2019-01-08 12:03:00,5
2019-01-08 12:04:00,10
2019-01-09 02:23:00,5
2019-01-09 02:24:00,5
2019-01-09 02:25:00,5
2019-01-11 08:09:00,1
2019-01-13 00:46:00,15
2019-01-19 07:15:00,4
2019-01-19 07:16:00,7
2019-01-19 07:17:00,1
2019-01-23 06:09:00,11
2019-01-23 06:10:00,1
2019-02-04 08:46:00,2
2019-02-04 08:47:00,13
2019-02-25 12:03:00,5
2019-02-25 12:04:00,6
2019-02-25 12:05:00,1
2019-02-28 07:29:00,11
2019-02-28 07:30:00,1
2019-03-05 03:52:00,15
2019-03-05 17:55:00,5
2019-03-05 17:56:00,5
2019-03-05 17:57:00,5
2019-03-08 15:42:00,15
2019-03-11 12:13:00,15
2019-03-12 01:20:00,10
2019-03-12 01:21:00,5
2019-03-15 05:25:00,15
2019-03-19 16:15:00,6
2019-03-19 16:16:00,5
2019-03-19 16:17:00,6
2019-03-19 16:26:00,12
2019-03-22 06:08:00,11
2019-03-22 06:10:00,1
2019-03-23 03:45:00,14
2019-03-23 03:46:00,1
2019-03-23 16:14:00,5
2019-03-23 16:15:00,10
2019-03-25 07:46:00,1
2019-03-25 07:47:00,11
2019-03-28 11:18:00,11
2019-03-28 11:20:00,1
2019-03-28 11:51:00,15
2019-04-01 16:41:00,11
2019-04-01 16:43:00,1
2019-04-01 16:57:00,12
2019-04-02 15:52:00,5
2019-04-02 15:55:00,10
2019-04-04 16:42:00,15
2019-04-04 18:53:00,5
2019-04-04 18:54:00,5
2019-04-04 18:55:00,5
2019-04-08 08:49:00,6
2019-04-08 08:51:00,1
2019-04-10 16:25:00,15
2019-04-10 18:20:00,5
2019-04-10 18:21:00,5
2019-04-10 18:22:00,5
2019-04-11 04:47:00,10
2019-04-11 04:48:00,5
2019-04-11 13:39:00,15
2019-04-11 15:26:00,5
2019-04-11 15:27:00,5
2019-04-11 15:28:00,5
2019-04-12 01:36:00,15
2019-04-16 06:24:00,11
2019-04-16 06:26:00,1
2019-04-17 13:59:00,15
2019-04-17 15:40:00,5
2019-04-17 15:41:00,5
2019-04-17 15:42:00,5
2019-04-18 12:23:00,7
2019-04-18 12:24:00,14
2019-04-18 12:25:00,2
2019-04-18 12:26:00,1
2019-04-18 12:31:00,1
2019-04-18 12:35:00,1
2019-04-18 12:36:00,2
2019-04-18 12:39:00,10
2019-04-18 12:40:00,5
2019-04-18 12:41:00,6
2019-04-18 12:43:00,5
2019-04-18 12:44:00,1
2019-04-18 12:45:00,5
2019-04-18 12:48:00,1
2019-04-18 13:19:00,5
2019-04-18 13:20:00,5
2019-04-19 06:55:00,12
2019-04-23 07:33:00,15
2019-04-23 09:14:00,5
2019-04-23 09:15:00,5
2019-04-23 09:16:00,5
2019-04-24 13:58:00,35
2019-04-24 13:59:00,5
2019-04-24 14:00:00,5
2019-04-25 13:50:00,30
2019-04-25 13:51:00,5
2019-04-25 13:53:00,5
2019-04-25 13:55:00,5
2019-04-27 12:50:00,30
2019-04-27 12:51:00,5
2019-04-27 12:52:00,10
2019-04-28 08:19:00,35
2019-04-28 08:21:00,10
2019-04-29 07:27:00,15
2019-04-29 09:02:00,5
2019-04-29 09:03:00,5
2019-04-29 09:04:00,5
2019-05-20 14:17:00,5
2019-05-20 14:18:00,10
2019-05-21 09:33:00,5
2019-05-21 09:35:00,10
2019-05-26 18:16:00,2
2019-05-26 18:17:00,13
2019-06-02 02:32:00,15
2019-06-02 06:01:00,10
2019-06-02 06:02:00,5
2019-06-02 06:34:00,5
2019-06-02 06:35:00,5
2019-06-02 06:36:00,5
2019-06-04 09:41:00,10
2019-06-04 09:42:00,5
2019-06-05 05:02:00,15
2019-06-05 05:56:00,10
2019-06-05 05:57:00,5
2019-06-05 07:22:00,10
2019-06-09 06:03:00,10
2019-06-12 09:53:00,15
2019-06-12 13:56:00,15
2019-06-12 14:43:00,6
2019-06-12 14:44:00,9
2019-06-23 10:55:00,15
2019-06-23 10:56:00,10
2019-06-23 10:57:00,5
2019-06-29 17:06:00,15
2019-07-06 04:35:00,15
2019-07-06 10:54:00,20
2019-07-06 10:55:00,10
2019-07-10 12:18:00,5
2019-07-12 17:37:00,15
2019-07-14 07:52:00,1
2019-07-14 07:53:00,14
2019-07-14 07:54:00,5
2019-07-14 07:55:00,5
2019-07-14 07:56:00,5
2019-07-15 01:01:00,1
2019-07-15 01:02:00,1
2019-07-15 01:03:00,2
2019-07-15 01:04:00,1
2019-07-22 10:11:00,5
2019-07-22 10:16:00,10
2019-07-25 06:53:00,11
2019-07-25 06:55:00,1
2019-07-28 09:06:00,15
2019-07-28 16:29:00,12
