10,"SELECT p.objID, p.ra, p.dec, p.type, p.psfMag_r, p.psfMagErr_r, p.petroMag_r, p.petroMagErr_r, p.modelMag_r, p.modelMagErr_r, p.cModelMag_r, p.cModelMagErr_r, p.fracDeV_r, p.psffwhm_r, p.petroRad_r, p.petroRadErr_r, p.deVRad_r, p.deVRadErr_r, p.expRad_r, p.expRadErr_r INTO frame_r_#_#_#_catalog FROM PhotoPrimary p WHERE run = # and rerun = # and camcol = # and field = #"
2019-04-03 04:41:00,1
2019-04-03 04:44:00,1
2019-04-03 04:46:00,1
2019-04-03 04:48:00,1
2019-04-03 04:50:00,1
2019-04-03 05:20:00,1
2019-04-03 05:22:00,1
2019-04-03 05:24:00,1
2019-04-03 05:28:00,1
2019-04-03 05:31:00,1
