31,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.petroR5#_r, p.fracdeV_r, p.deVRad_r, p.expRad_r, fsps.logMass, fsps.age, fsps.metallicity, n.distance, s.specobjid, s.class, s.z as redshift, pz.z as photoz FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoObj AS p on p.objid = n.objid JOIN SpecObj AS s ON s.bestobjid = n.objid JOIN PhotoZ AS pz ON pz.objid = n.objid JOIN stellarMassFSPSGranWideDust as fsps ON s.specobjid = fsps.specobjid WHERE s.class = GALAXY"
2019-03-05 04:38:00,2
2019-03-05 16:05:00,1
2019-03-12 04:16:00,1
2019-03-12 04:18:00,1
2019-03-12 04:19:00,1
2019-03-12 04:20:00,1
2019-03-13 00:03:00,1
2019-03-13 00:05:00,1
2019-03-13 00:10:00,1
2019-03-13 00:12:00,1
2019-03-13 04:48:00,2
2019-03-13 04:49:00,2
2019-03-13 04:50:00,1
2019-03-13 04:54:00,1
2019-03-13 04:57:00,1
2019-03-13 04:58:00,1
2019-03-13 05:09:00,2
2019-03-13 05:12:00,1
2019-03-13 05:13:00,2
2019-03-13 05:14:00,1
2019-03-13 18:44:00,2
2019-03-13 22:53:00,3
2019-03-13 22:54:00,1
