13,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = GALAXY"
2019-02-26 05:21:00,1
2019-02-26 05:29:00,1
2019-02-26 05:30:00,1
2019-02-26 05:38:00,2
2019-02-26 05:39:00,1
2019-02-26 05:42:00,1
2019-02-26 05:43:00,3
2019-02-26 05:44:00,1
2019-02-26 06:24:00,1
2019-02-26 06:26:00,1
