303,"SELECT TOP # # + cast (p.objId as varchar (#) ) +# + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u between # AND # AND p.g between # AND # AND p.i between # AND # AND p.r between # AND # AND p.z between # AND #"
2019-01-05 17:18:00,2
2019-01-06 17:50:00,1
2019-01-09 02:25:00,1
2019-01-15 17:30:00,1
2019-01-24 17:02:00,1
2019-01-25 11:38:00,1
2019-01-30 03:15:00,1
2019-01-30 03:24:00,1
2019-01-30 07:53:00,1
2019-02-04 15:18:00,1
2019-02-05 12:11:00,1
2019-02-15 16:32:00,1
2019-02-17 10:24:00,1
2019-02-18 10:20:00,1
2019-02-18 10:21:00,1
2019-02-18 10:22:00,1
2019-02-20 19:39:00,1
2019-02-22 10:04:00,1
2019-03-05 12:37:00,1
2019-03-08 11:48:00,1
2019-03-12 09:11:00,3
2019-03-12 10:40:00,1
2019-03-14 22:58:00,1
2019-04-05 22:18:00,1
2019-04-07 13:56:00,1
2019-04-18 17:01:00,1
2019-04-18 17:22:00,1
2019-04-24 01:17:00,1
2019-04-25 13:24:00,1
2019-04-25 13:29:00,1
2019-04-26 06:59:00,3
2019-04-27 14:03:00,1
2019-05-01 00:27:00,1
2019-05-01 21:11:00,1
2019-05-02 17:41:00,2
2019-05-04 03:03:00,1
2019-05-12 08:52:00,2
2019-05-28 17:56:00,2
2019-05-28 19:40:00,1
2019-06-01 12:08:00,1
2019-06-01 12:11:00,1
2019-06-01 13:05:00,3
2019-06-01 13:06:00,2
2019-06-06 01:13:00,2
2019-06-17 05:41:00,1
2019-06-26 03:30:00,1
2019-07-01 09:52:00,1
2019-07-07 14:36:00,1
2019-07-07 14:53:00,1
2019-07-07 14:54:00,1
2019-07-12 07:11:00,3
2019-07-16 20:48:00,1
2019-07-18 17:57:00,1
2019-07-18 18:21:00,1
2019-07-18 18:25:00,1
2019-07-18 19:16:00,1
2019-07-18 19:27:00,1
2019-07-18 19:49:00,1
2019-07-18 19:57:00,1
