18,"SELECT r, g-r AS color FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-06-09 21:40:00,2
2019-06-10 07:15:00,1
2019-06-12 09:27:00,4
2019-06-12 10:20:00,3
2019-06-12 10:21:00,3
2019-06-12 10:22:00,1
2019-06-12 10:25:00,1
2019-06-12 10:29:00,2
2019-06-12 10:30:00,1
