18,"SELECT TOP # gsi.z, gsl.oiii_#_flux, gsl.oiii_#_flux_err, gsl.nii_#_flux, gsl.nii_#_flux_err, gsl.h_alpha_flux, gsl.h_alpha_flux_err, gsl.h_beta_flux, gsl.h_beta_flux_err, p.objid, p.ra, p.dec, p.petror9#_r, p.dered_z, p.dered_r, p.dered_g FROM Galaxy as p JOIN galSpecLine AS gsl ON p.specobjid = gsl.specobjid JOIN galSpecInfo AS gsi ON p.specobjid = gsi.specobjid WHERE gsl.oiii_#_flux > # AND gsl.nii_#_flux > # AND gsl.h_alpha_flux > # AND gsl.h_beta_flux > # AND gsl.oiii_#_flux/gsl.oiii_#_flux_err > # AND gsl.nii_#_flux/gsl.nii_#_flux_err > # AND gsl.h_alpha_flux/gsl.h_alpha_flux_err > # AND gsl.h_beta_flux/gsl.h_beta_flux_err > #"
2019-04-27 16:44:00,1
2019-05-04 14:03:00,2
2019-05-04 14:18:00,2
2019-05-05 14:27:00,1
2019-05-05 14:30:00,1
2019-05-05 14:31:00,1
2019-05-05 14:37:00,1
2019-05-05 14:38:00,1
2019-05-05 14:40:00,1
2019-05-05 15:07:00,1
2019-05-06 15:14:00,1
2019-05-06 15:29:00,1
2019-05-06 15:32:00,1
2019-05-06 15:33:00,2
2019-05-06 19:04:00,1
