4,"SELECT TOP # p.*, s.* FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # AND # AND s.class = #"
2019-04-23 12:40:00,2
2019-04-23 12:41:00,2
