137,"SELECT top # visit.*, aspcap.teff, aspcap.logg, aspcap.param_m_h FROM apogeeVisit visit JOIN apogeeStarVisit starvisit on visit.visit_id = starvisit.visit_id JOIN aspcapStar aspcap on aspcap.apstar_id = starvisit.apstar_id JOIN apogeeStar star on star.apstar_id = starvisit.apstar_id WHERE (aspcap.aspxcapflag"
2019-01-01 11:07:00,1
2019-01-02 00:18:00,1
2019-01-02 00:47:00,1
2019-01-06 12:40:00,1
2019-01-07 00:08:00,1
2019-01-08 06:26:00,1
2019-01-08 07:27:00,1
2019-01-11 04:41:00,1
2019-01-12 03:10:00,1
2019-01-13 08:29:00,1
2019-01-13 09:07:00,1
2019-01-22 08:25:00,1
2019-01-23 23:23:00,1
2019-01-23 23:25:00,1
2019-01-25 15:56:00,1
2019-01-30 09:29:00,1
2019-02-04 13:39:00,1
2019-02-04 14:10:00,1
2019-02-04 14:40:00,1
2019-02-08 18:11:00,1
2019-02-08 22:15:00,1
2019-02-10 05:50:00,1
2019-02-10 09:42:00,1
2019-02-11 11:12:00,1
2019-02-14 11:00:00,1
2019-02-14 12:09:00,1
2019-02-18 03:05:00,1
2019-02-27 19:48:00,1
2019-02-27 22:25:00,1
2019-02-28 03:31:00,1
2019-03-01 12:56:00,1
2019-03-01 22:30:00,1
2019-03-02 02:06:00,1
2019-03-05 07:29:00,1
2019-03-05 08:52:00,1
2019-03-10 18:11:00,1
2019-03-26 19:53:00,1
2019-03-26 20:28:00,1
2019-03-26 20:56:00,1
2019-03-28 16:13:00,1
2019-03-28 19:56:00,1
2019-04-01 18:24:00,1
2019-04-01 22:17:00,1
2019-04-08 15:33:00,1
2019-04-08 18:47:00,1
2019-04-09 21:14:00,1
2019-04-09 21:20:00,1
2019-04-09 21:21:00,1
2019-04-10 00:36:00,1
2019-04-16 18:42:00,1
2019-04-18 21:54:00,1
2019-04-19 01:37:00,1
2019-04-19 19:06:00,1
2019-05-01 14:52:00,1
2019-05-02 11:04:00,1
2019-05-03 14:46:00,1
2019-05-03 17:26:00,1
2019-05-10 16:23:00,1
2019-05-15 23:56:00,1
2019-05-16 00:41:00,1
2019-05-18 20:33:00,1
2019-05-18 21:21:00,1
2019-05-18 21:59:00,1
2019-05-23 09:59:00,1
2019-05-23 13:31:00,1
2019-05-24 08:55:00,1
2019-05-24 13:30:00,1
2019-06-10 21:03:00,1
2019-06-10 21:20:00,1
2019-06-15 09:22:00,1
2019-06-18 11:43:00,1
2019-06-18 13:09:00,1
2019-06-18 14:43:00,1
2019-06-20 00:09:00,1
2019-06-20 03:51:00,1
2019-06-24 00:35:00,1
2019-06-25 12:28:00,1
2019-07-01 21:25:00,1
2019-07-02 01:28:00,1
2019-07-02 15:15:00,1
2019-07-02 19:41:00,1
2019-07-12 19:11:00,1
2019-07-20 00:18:00,1
2019-07-20 05:27:00,1
2019-07-22 05:27:00,1
2019-07-24 02:07:00,1
2019-07-24 08:08:00,1
2019-07-25 23:04:00,1
2019-08-06 02:36:00,1
2019-08-14 22:45:00,1
2019-08-15 03:48:00,1
2019-08-16 23:32:00,1
2019-08-17 09:12:00,1
2019-08-20 23:03:00,1
2019-08-21 04:41:00,1
2019-08-23 01:40:00,1
2019-08-23 07:57:00,1
2019-08-30 11:10:00,1
2019-09-06 21:54:00,1
2019-09-07 10:33:00,1
2019-09-13 00:29:00,1
2019-09-13 05:06:00,1
2019-09-14 17:54:00,1
2019-09-14 23:57:00,1
2019-09-15 06:57:00,1
2019-09-15 08:02:00,1
2019-09-27 23:55:00,1
2019-09-28 04:46:00,1
2019-09-30 01:45:00,1
2019-09-30 07:50:00,1
2019-10-19 09:51:00,1
2019-10-19 17:34:00,1
2019-10-22 03:50:00,1
2019-10-22 10:04:00,1
2019-10-22 20:24:00,1
2019-10-24 09:44:00,1
2019-10-24 16:32:00,1
2019-10-24 21:37:00,1
2019-10-25 00:35:00,1
2019-10-25 00:44:00,1
2019-10-26 18:02:00,1
2019-10-26 19:34:00,1
2019-10-27 10:08:00,1
2019-10-30 23:42:00,1
2019-10-31 04:06:00,1
2019-11-02 01:03:00,1
2019-11-02 07:05:00,1
2019-11-20 04:44:00,1
2019-11-20 12:29:00,1
2019-11-22 18:39:00,1
2019-11-23 00:30:00,1
2019-12-03 01:07:00,1
2019-12-03 08:24:00,1
2019-12-05 11:09:00,1
2019-12-05 19:09:00,1
2019-12-18 01:00:00,1
2019-12-31 00:02:00,1
