105,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between .# and .#
2019-03-03 17:12:00,3
2019-03-03 17:13:00,7
2019-03-03 17:21:00,1
2019-03-03 17:23:00,1
2019-03-03 18:13:00,1
2019-03-03 18:18:00,1
2019-03-03 18:30:00,2
2019-03-03 18:31:00,1
2019-03-03 21:27:00,3
2019-03-03 21:28:00,2
2019-03-03 21:33:00,2
2019-03-03 23:07:00,1
2019-03-03 23:08:00,2
2019-03-03 23:15:00,3
2019-03-04 00:46:00,1
2019-03-04 00:48:00,2
2019-03-04 01:27:00,3
2019-03-04 02:09:00,2
2019-03-04 02:11:00,1
2019-03-04 03:18:00,4
2019-03-04 03:19:00,1
2019-03-04 03:24:00,3
2019-03-04 03:43:00,3
2019-03-04 03:55:00,2
2019-03-04 03:58:00,1
2019-03-04 04:32:00,3
2019-03-04 05:26:00,1
2019-03-04 05:28:00,2
2019-03-04 05:33:00,1
2019-03-04 05:36:00,2
2019-03-04 07:18:00,1
2019-03-04 07:19:00,2
2019-03-04 07:37:00,2
2019-03-04 07:38:00,3
2019-03-04 07:39:00,1
2019-03-04 09:39:00,4
2019-03-04 10:45:00,2
2019-03-04 10:47:00,1
2019-03-04 10:54:00,2
2019-03-04 10:56:00,1
2019-03-04 11:11:00,2
2019-03-04 11:13:00,1
2019-03-04 11:40:00,3
2019-03-04 11:41:00,4
2019-03-04 13:10:00,3
2019-03-04 14:46:00,8
2019-03-04 16:02:00,3
