2,"SELECT p.ObjID, p.ra, p.dec, p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_u, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.clean, p.flags INTO EMPG_cands6_parent FROM PhotoObjALL as p WHERE p.clean = # AND p.modelMag_u> # AND p.modelMag_g> # AND p.modelMag_r> # AND p.modelMag_i> # AND p.modelMag_z> # AND p.modelMag_u< # AND p.modelMag_g< # AND p.modelMag_r< # AND p.modelMag_i< # AND p.modelMag_z< # AND p.modelMagErr_u< # AND p.modelMagErr_g< # AND p.modelMagErr_r< # AND p.modelMagErr_i< # AND p.modelMagErr_z< # AND (p.flags & #) = #"
2019-07-12 02:14:00,1
2019-07-12 02:15:00,1
