27,"SELECT TOP # p.fiberMag_u, p.fiberMag_g, p.fiberMag_r, p.fiberMag_i, p.fiberMag_z, s.elodieTEff FROM PhotoObjAll AS p JOIN specObjAll s ON s.bestobjid = p.objid WHERE p.mode = # AND s.sciencePrimary = # AND p.clean = # AND s.class ! = # AND s.class ! =#"
2019-05-29 15:44:00,1
2019-05-29 16:15:00,1
2019-05-29 16:29:00,1
2019-05-29 16:39:00,1
2019-06-05 14:21:00,1
2019-06-05 14:38:00,1
2019-06-05 14:42:00,1
2019-06-05 15:05:00,1
2019-06-10 00:00:00,1
2019-06-10 01:06:00,1
2019-06-10 01:11:00,1
2019-06-13 18:49:00,1
2019-06-13 19:02:00,1
2019-06-13 19:37:00,1
2019-06-13 21:49:00,1
2019-06-14 01:49:00,1
2019-06-14 02:07:00,1
2019-06-18 16:04:00,1
2019-06-19 12:27:00,1
2019-06-25 17:49:00,1
2019-06-26 14:40:00,1
2019-06-26 14:41:00,1
2019-06-26 15:06:00,1
2019-06-26 15:14:00,1
2019-06-26 15:25:00,1
2019-06-27 16:02:00,1
2019-06-27 19:34:00,1
