2,"SELECT spe.ra, spe.dec, spe.z, spe.subclass FROM SpecObj As spe WHERE spe.ra > # and spe.ra < # AND spe.dec > # and spe.dec < # And spe.class = # UNION SELECT zo.spiral, zo.elliptical FROM zo As zoospe WHERE spe.specObjID = zo.specobjid"
2019-09-25 04:46:00,1
2019-09-25 04:47:00,1
