146,select * from A2#_DR1#_within6#_spec
2019-03-21 18:02:00,3
2019-03-21 18:03:00,4
2019-03-21 18:04:00,4
2019-03-21 18:05:00,4
2019-03-21 18:06:00,4
2019-03-21 18:07:00,4
2019-03-21 18:08:00,4
2019-03-21 18:09:00,4
2019-03-21 18:10:00,4
2019-03-21 18:11:00,4
2019-03-21 18:12:00,4
2019-03-21 18:13:00,4
2019-03-21 18:14:00,4
2019-03-21 18:15:00,3
2019-03-22 00:04:00,3
2019-03-22 00:05:00,4
2019-03-22 00:06:00,4
2019-03-22 00:07:00,4
2019-03-22 00:08:00,4
2019-03-22 00:09:00,4
2019-03-22 00:10:00,4
2019-03-22 00:11:00,3
2019-03-22 00:24:00,1
2019-03-22 00:26:00,1
2019-03-28 11:41:00,1
2019-03-28 11:42:00,1
2019-03-29 09:53:00,3
2019-03-29 09:54:00,1
2019-03-29 09:55:00,3
2019-03-29 09:56:00,4
2019-03-29 09:57:00,4
2019-03-29 09:58:00,4
2019-03-29 09:59:00,4
2019-03-29 10:00:00,4
2019-03-29 10:01:00,4
2019-03-29 10:02:00,4
2019-03-29 10:03:00,4
2019-03-29 10:04:00,4
2019-03-29 10:05:00,4
2019-03-29 10:06:00,3
2019-03-29 10:07:00,1
2019-03-29 10:09:00,3
2019-03-29 10:10:00,3
2019-03-29 10:35:00,1
