37,"SELECT distinct p.ra, p.dec, p.cModelMag_g, p.cModelMag_r, p.cModelMag_g-p.cModelMag_r FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN #-# AND #+# AND p.dec BETWEEN #-# AND #+#"
2019-08-09 01:24:00,2
2019-08-09 01:25:00,1
2019-08-09 01:26:00,1
2019-08-09 01:27:00,2
2019-08-09 01:28:00,1
2019-08-09 01:29:00,2
2019-08-09 01:30:00,2
2019-08-09 01:31:00,1
2019-08-09 01:32:00,2
2019-08-09 01:33:00,1
2019-08-09 01:35:00,1
2019-08-09 02:38:00,2
2019-08-09 02:41:00,1
2019-08-09 02:42:00,2
2019-08-09 02:43:00,1
2019-08-09 02:44:00,2
2019-08-09 02:45:00,2
2019-08-09 02:46:00,2
2019-08-09 02:47:00,2
2019-08-09 02:48:00,2
2019-08-09 02:49:00,2
2019-08-09 02:50:00,1
2019-08-09 02:51:00,1
2019-08-09 02:53:00,1
