92,SELECT top # *
2019-01-06 09:31:00,1
2019-01-06 09:50:00,2
2019-01-06 09:51:00,1
2019-01-06 09:52:00,1
2019-01-06 09:54:00,2
2019-01-06 09:56:00,1
2019-01-06 09:57:00,1
2019-01-06 09:58:00,1
2019-01-06 10:05:00,1
2019-01-06 15:03:00,2
2019-01-20 11:52:00,3
2019-01-20 11:54:00,5
2019-01-20 11:55:00,1
2019-01-20 11:56:00,1
2019-02-12 11:18:00,1
2019-03-07 10:10:00,1
2019-03-07 10:15:00,1
2019-03-07 10:20:00,1
2019-03-17 05:53:00,1
2019-03-17 14:50:00,1
2019-03-17 14:51:00,1
2019-03-26 21:08:00,1
2019-03-31 14:15:00,1
2019-03-31 15:18:00,1
2019-04-01 15:34:00,1
2019-04-01 15:36:00,1
2019-04-14 10:09:00,1
2019-05-22 00:15:00,1
2019-05-23 03:05:00,1
2019-05-23 03:07:00,1
2019-06-01 13:43:00,2
2019-06-04 03:26:00,1
2019-07-03 15:07:00,1
2019-07-03 15:19:00,1
2019-07-03 15:21:00,1
2019-07-03 15:23:00,1
2019-07-03 15:30:00,1
2019-09-18 08:13:00,2
2019-10-02 04:43:00,1
2019-10-02 04:44:00,1
2019-10-30 05:35:00,1
2019-10-30 05:37:00,2
2019-10-30 09:22:00,3
2019-10-30 09:23:00,1
2019-10-30 09:29:00,2
2019-10-30 09:35:00,1
2019-11-25 02:09:00,2
2019-12-19 08:59:00,2
2019-12-19 09:01:00,1
2019-12-19 09:02:00,1
2019-12-19 09:03:00,1
2019-12-19 09:20:00,4
2019-12-19 09:21:00,5
2019-12-19 09:30:00,2
2019-12-19 09:32:00,1
2019-12-19 09:39:00,2
2019-12-19 09:40:00,2
2019-12-19 09:47:00,2
2019-12-19 09:49:00,1
2019-12-19 09:50:00,2
2019-12-20 07:07:00,1
2019-12-20 07:15:00,1
2019-12-20 07:16:00,1
