36338,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-01-01 00:59:00,1
2019-01-01 04:10:00,2
2019-01-01 14:50:00,1
2019-01-01 15:30:00,2
2019-01-01 15:33:00,2
2019-01-01 15:36:00,2
2019-01-01 15:38:00,1
2019-01-01 15:40:00,1
2019-01-02 04:57:00,1
2019-01-02 04:59:00,1
2019-01-02 05:03:00,1
2019-01-03 01:35:00,1
2019-01-03 05:52:00,1
2019-01-03 06:38:00,1
2019-01-03 06:40:00,1
2019-01-03 06:45:00,2
2019-01-03 07:25:00,2
2019-01-03 07:26:00,2
2019-01-03 07:27:00,1
2019-01-03 09:13:00,1
2019-01-03 10:11:00,7
2019-01-03 10:14:00,2
2019-01-03 11:58:00,2
2019-01-03 12:03:00,4
2019-01-03 12:04:00,6
2019-01-03 14:04:00,1
2019-01-03 14:05:00,1
2019-01-03 14:06:00,3
2019-01-03 14:07:00,2
2019-01-03 14:08:00,5
2019-01-03 14:09:00,10
2019-01-03 14:10:00,3
2019-01-03 14:11:00,1
2019-01-03 14:12:00,1
2019-01-03 14:13:00,2
2019-01-03 14:14:00,3
2019-01-03 14:15:00,12
2019-01-03 14:16:00,1
2019-01-03 14:17:00,2
2019-01-03 14:18:00,1
2019-01-03 14:26:00,2
2019-01-03 16:29:00,1
2019-01-03 17:15:00,1
2019-01-03 17:22:00,1
2019-01-03 21:17:00,1
2019-01-03 21:23:00,1
2019-01-03 22:00:00,2
2019-01-04 01:20:00,1
2019-01-04 05:37:00,1
2019-01-04 05:39:00,1
2019-01-04 07:34:00,8
2019-01-04 07:36:00,1
2019-01-04 07:42:00,6
2019-01-04 07:54:00,7
2019-01-04 07:58:00,1
2019-01-04 07:59:00,4
2019-01-04 12:31:00,8
2019-01-04 12:40:00,1
2019-01-04 12:41:00,1
2019-01-04 12:43:00,11
2019-01-04 12:44:00,6
2019-01-04 13:07:00,1
2019-01-04 13:09:00,3
2019-01-04 13:10:00,1
2019-01-04 14:02:00,1
2019-01-04 14:04:00,2
2019-01-04 14:05:00,2
2019-01-04 14:07:00,2
2019-01-04 14:08:00,3
2019-01-04 14:09:00,3
2019-01-04 14:10:00,3
2019-01-04 14:11:00,2
2019-01-04 14:12:00,3
2019-01-04 14:13:00,3
2019-01-04 14:14:00,1
2019-01-04 14:15:00,2
2019-01-04 14:16:00,3
2019-01-04 14:17:00,2
2019-01-04 14:18:00,1
2019-01-04 14:19:00,1
2019-01-04 14:20:00,3
2019-01-04 15:50:00,4
2019-01-04 15:51:00,13
2019-01-04 15:52:00,13
2019-01-04 15:57:00,1
2019-01-04 17:44:00,1
2019-01-04 17:47:00,1
2019-01-04 17:48:00,1
2019-01-04 17:49:00,1
2019-01-04 18:31:00,1
2019-01-04 18:32:00,1
2019-01-04 18:33:00,1
2019-01-04 18:35:00,1
2019-01-04 18:37:00,3
2019-01-04 18:41:00,1
2019-01-04 21:07:00,2
2019-01-04 21:08:00,1
2019-01-05 08:38:00,1
2019-01-05 10:42:00,5
2019-01-05 10:43:00,2
2019-01-05 10:46:00,3
2019-01-05 10:49:00,2
2019-01-05 14:06:00,1
2019-01-05 14:07:00,2
2019-01-05 14:08:00,3
2019-01-05 14:09:00,3
2019-01-05 14:10:00,2
2019-01-05 14:11:00,3
2019-01-05 15:42:00,1
2019-01-05 15:58:00,1
2019-01-05 15:59:00,2
2019-01-05 16:00:00,1
2019-01-05 16:16:00,1
2019-01-05 16:18:00,1
2019-01-05 16:39:00,1
2019-01-05 16:40:00,2
2019-01-05 16:47:00,1
2019-01-05 16:55:00,2
2019-01-06 00:56:00,1
2019-01-06 01:00:00,1
2019-01-06 03:26:00,1
2019-01-07 06:57:00,1
2019-01-07 07:07:00,1
2019-01-07 09:12:00,1
2019-01-07 09:26:00,4
2019-01-07 09:29:00,2
2019-01-07 09:30:00,2
2019-01-07 09:34:00,5
2019-01-07 09:36:00,1
2019-01-07 09:44:00,2
2019-01-07 10:09:00,1
2019-01-07 15:33:00,1
2019-01-07 15:34:00,4
2019-01-07 15:35:00,2
2019-01-07 15:36:00,2
2019-01-07 15:37:00,3
2019-01-07 15:52:00,1
2019-01-07 16:25:00,1
2019-01-07 19:12:00,2
2019-01-07 19:17:00,1
2019-01-07 19:26:00,2
2019-01-07 19:27:00,1
2019-01-07 19:53:00,1
2019-01-08 01:29:00,2
2019-01-08 01:32:00,1
2019-01-08 01:34:00,1
2019-01-08 02:35:00,1
2019-01-08 03:31:00,1
2019-01-08 08:19:00,3
2019-01-08 08:20:00,1
2019-01-08 08:21:00,2
2019-01-08 08:22:00,3
2019-01-08 08:25:00,2
2019-01-08 08:26:00,2
2019-01-08 08:30:00,6
2019-01-08 08:34:00,4
2019-01-08 08:44:00,1
2019-01-08 09:46:00,1
2019-01-08 09:47:00,1
2019-01-08 11:06:00,1
2019-01-08 12:26:00,2
2019-01-08 12:32:00,5
2019-01-08 12:33:00,10
2019-01-08 13:30:00,1
2019-01-08 13:31:00,11
2019-01-08 13:32:00,3
2019-01-08 16:28:00,1
2019-01-08 16:38:00,1
2019-01-08 16:39:00,1
2019-01-08 16:41:00,1
2019-01-08 17:35:00,1
2019-01-08 17:46:00,1
2019-01-08 18:48:00,1
2019-01-08 18:49:00,1
2019-01-08 18:50:00,1
2019-01-08 18:51:00,1
2019-01-08 18:52:00,2
2019-01-08 18:53:00,1
2019-01-08 18:54:00,1
2019-01-08 18:55:00,2
2019-01-08 18:56:00,2
2019-01-08 18:57:00,3
2019-01-08 18:58:00,4
2019-01-08 18:59:00,2
2019-01-08 19:00:00,1
2019-01-08 19:01:00,2
2019-01-08 19:02:00,2
2019-01-08 19:03:00,3
2019-01-08 19:04:00,2
2019-01-08 19:13:00,1
2019-01-08 19:16:00,1
2019-01-08 19:22:00,1
2019-01-08 19:25:00,1
2019-01-08 19:37:00,1
2019-01-08 19:47:00,1
2019-01-08 19:51:00,2
2019-01-08 19:53:00,1
2019-01-08 19:54:00,1
2019-01-08 20:01:00,1
2019-01-08 20:19:00,1
2019-01-08 20:23:00,1
2019-01-08 20:25:00,3
2019-01-08 20:26:00,1
2019-01-08 20:27:00,1
2019-01-08 20:31:00,1
2019-01-08 20:33:00,1
2019-01-08 20:34:00,1
2019-01-08 20:40:00,1
