5326,select fieldid from field where devmodelapcorrection_i between # and # and psfb_u between # and #
2019-01-24 13:51:00,15
2019-01-24 17:26:00,15
2019-01-24 20:40:00,89
2019-01-24 20:41:00,7
2019-01-24 22:38:00,11
2019-01-25 08:36:00,193
2019-01-25 08:37:00,104
2019-01-25 08:38:00,69
2019-01-25 08:41:00,119
2019-01-25 08:43:00,133
2019-01-25 08:47:00,124
2019-01-25 08:50:00,153
2019-01-25 08:51:00,5
2019-01-25 08:55:00,54
2019-01-25 08:56:00,167
2019-01-25 11:31:00,6
2019-01-25 11:32:00,125
2019-01-25 11:33:00,13
2019-01-25 12:20:00,192
2019-01-25 12:21:00,335
2019-01-25 14:29:00,17
2019-01-28 15:49:00,61
2019-01-28 15:50:00,121
2019-01-28 15:51:00,112
2019-01-28 15:52:00,57
2019-01-28 17:09:00,78
2019-01-28 17:11:00,68
2019-01-28 17:53:00,36
2019-01-28 17:54:00,230
2019-01-28 17:55:00,3
2019-01-28 22:31:00,39
2019-01-28 22:32:00,101
2019-01-28 22:33:00,98
2019-01-28 22:34:00,96
2019-01-28 23:18:00,30
2019-01-28 23:21:00,142
2019-01-28 23:22:00,98
2019-01-28 23:44:00,306
2019-01-28 23:45:00,28
2019-02-26 10:27:00,6
2019-02-26 10:28:00,13
2019-02-26 10:29:00,5
2019-02-26 10:32:00,1
2019-02-26 10:33:00,1
2019-02-26 10:56:00,10
2019-02-26 11:48:00,9
2019-02-26 11:49:00,225
2019-02-26 11:50:00,50
2019-02-26 11:51:00,230
2019-02-26 11:52:00,100
2019-02-26 12:02:00,8
2019-02-26 12:03:00,5
2019-02-26 12:07:00,134
2019-02-26 12:08:00,205
2019-02-26 12:49:00,2
2019-02-26 12:50:00,6
2019-02-26 12:56:00,3
2019-02-26 12:57:00,1
2019-02-26 12:58:00,3
2019-02-26 12:59:00,2
2019-02-26 13:05:00,93
2019-02-26 13:06:00,16
2019-02-26 13:08:00,121
2019-02-26 13:36:00,3
2019-02-26 13:42:00,79
2019-02-26 13:43:00,146
2019-02-26 13:44:00,84
2019-02-26 13:45:00,115
