27241,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns (#) ORDER BY [columnID]"
2019-01-01 01:56:00,1
2019-01-01 08:52:00,1
2019-01-01 10:36:00,1
2019-01-01 10:51:00,1
2019-01-01 13:05:00,1
2019-01-01 13:47:00,1
2019-01-01 14:15:00,2
2019-01-01 17:32:00,1
2019-01-01 21:18:00,1
2019-01-02 00:21:00,1
2019-01-02 00:38:00,1
2019-01-02 00:41:00,1
2019-01-02 00:43:00,2
2019-01-02 00:46:00,1
2019-01-02 00:47:00,1
2019-01-02 00:53:00,3
2019-01-02 02:29:00,3
2019-01-02 02:31:00,1
2019-01-02 02:32:00,1
2019-01-02 02:33:00,2
2019-01-02 02:43:00,2
2019-01-02 02:44:00,2
2019-01-02 02:46:00,1
2019-01-02 02:48:00,1
2019-01-02 03:01:00,1
2019-01-02 05:26:00,1
2019-01-02 05:34:00,1
2019-01-02 06:30:00,1
2019-01-02 08:07:00,1
2019-01-02 08:24:00,1
2019-01-02 08:41:00,1
2019-01-02 08:50:00,1
2019-01-02 12:20:00,3
2019-01-02 12:21:00,1
2019-01-02 12:31:00,2
2019-01-02 13:00:00,1
2019-01-02 13:07:00,1
2019-01-02 13:08:00,3
2019-01-02 13:09:00,1
2019-01-02 13:21:00,1
2019-01-02 13:22:00,3
2019-01-02 13:23:00,1
2019-01-02 13:41:00,1
2019-01-02 13:43:00,2
2019-01-02 14:02:00,1
2019-01-02 14:20:00,1
2019-01-02 15:09:00,1
2019-01-02 16:47:00,1
2019-01-02 17:37:00,3
2019-01-02 18:59:00,2
2019-01-03 00:52:00,1
2019-01-03 03:42:00,1
2019-01-03 05:49:00,1
2019-01-03 06:03:00,2
2019-01-03 06:04:00,1
2019-01-03 06:05:00,3
2019-01-03 06:07:00,2
2019-01-03 06:10:00,1
2019-01-03 12:23:00,1
2019-01-03 12:24:00,1
2019-01-03 12:40:00,1
2019-01-03 13:02:00,2
2019-01-03 13:22:00,1
2019-01-03 13:24:00,1
2019-01-03 13:27:00,1
2019-01-03 13:31:00,1
2019-01-03 13:40:00,2
2019-01-03 13:52:00,1
2019-01-03 15:09:00,1
2019-01-03 15:16:00,1
2019-01-03 15:42:00,2
2019-01-03 15:43:00,2
2019-01-03 16:20:00,2
2019-01-03 16:38:00,3
2019-01-03 16:42:00,1
2019-01-03 18:11:00,1
2019-01-03 18:13:00,2
2019-01-03 19:22:00,1
2019-01-04 02:59:00,1
2019-01-04 04:56:00,1
2019-01-04 05:28:00,1
2019-01-04 06:12:00,1
2019-01-04 07:19:00,2
2019-01-04 07:20:00,1
2019-01-04 08:02:00,1
2019-01-04 12:17:00,1
2019-01-04 14:32:00,1
2019-01-04 14:56:00,1
2019-01-04 15:02:00,1
2019-01-04 15:22:00,1
2019-01-04 16:24:00,1
2019-01-04 16:26:00,1
2019-01-04 16:38:00,1
2019-01-04 16:39:00,1
2019-01-04 16:42:00,1
2019-01-04 17:13:00,3
2019-01-04 18:13:00,1
2019-01-04 18:40:00,1
2019-01-05 01:24:00,1
2019-01-05 12:35:00,1
2019-01-05 12:36:00,1
2019-01-05 12:41:00,1
2019-01-05 15:01:00,2
2019-01-05 15:30:00,2
2019-01-05 15:57:00,1
2019-01-05 16:08:00,1
2019-01-05 16:37:00,1
2019-01-05 16:48:00,1
2019-01-05 17:06:00,1
2019-01-05 17:52:00,1
2019-01-05 18:18:00,1
2019-01-05 20:22:00,1
2019-01-06 02:32:00,1
2019-01-06 09:13:00,1
2019-01-06 09:15:00,1
2019-01-06 10:43:00,1
2019-01-06 10:45:00,1
2019-01-06 10:47:00,1
2019-01-06 10:48:00,2
2019-01-06 10:54:00,1
2019-01-06 13:12:00,1
2019-01-06 13:14:00,1
2019-01-06 13:18:00,1
2019-01-06 14:54:00,4
2019-01-06 14:56:00,1
2019-01-06 15:00:00,1
2019-01-06 15:48:00,2
2019-01-06 16:19:00,1
2019-01-06 17:15:00,1
2019-01-06 19:08:00,2
2019-01-06 19:10:00,1
2019-01-06 20:22:00,1
2019-01-06 20:28:00,1
2019-01-06 20:47:00,2
2019-01-06 21:16:00,1
2019-01-06 22:05:00,1
2019-01-06 22:13:00,1
2019-01-06 22:41:00,1
2019-01-07 02:10:00,1
2019-01-07 06:33:00,1
2019-01-07 07:34:00,2
2019-01-07 07:53:00,1
2019-01-07 08:56:00,1
2019-01-07 08:59:00,1
2019-01-07 09:05:00,2
2019-01-07 09:06:00,1
2019-01-07 09:07:00,2
2019-01-07 09:08:00,1
2019-01-07 09:38:00,1
2019-01-07 09:47:00,1
2019-01-07 11:08:00,1
2019-01-07 12:21:00,1
2019-01-07 13:03:00,1
2019-01-07 13:11:00,2
2019-01-07 13:16:00,3
2019-01-07 13:17:00,1
2019-01-07 13:19:00,1
2019-01-07 13:21:00,2
2019-01-07 13:22:00,1
2019-01-07 13:23:00,1
2019-01-07 13:27:00,1
2019-01-07 13:29:00,1
2019-01-07 13:57:00,1
2019-01-07 13:58:00,1
2019-01-07 13:59:00,1
2019-01-07 14:01:00,2
2019-01-07 14:33:00,1
2019-01-07 14:59:00,1
2019-01-07 15:01:00,1
2019-01-07 15:08:00,1
2019-01-07 15:57:00,1
2019-01-07 15:58:00,2
2019-01-07 16:02:00,2
2019-01-07 16:05:00,1
2019-01-07 16:09:00,1
2019-01-07 16:12:00,1
2019-01-07 16:13:00,1
2019-01-07 16:28:00,1
2019-01-07 16:53:00,1
2019-01-07 17:20:00,1
2019-01-07 17:32:00,3
2019-01-07 20:05:00,1
2019-01-07 20:14:00,1
2019-01-07 20:32:00,1
2019-01-07 20:57:00,1
2019-01-07 21:35:00,1
2019-01-07 21:47:00,1
2019-01-07 21:48:00,1
2019-01-07 22:00:00,1
2019-01-07 22:45:00,1
2019-01-07 22:50:00,1
2019-01-07 22:51:00,1
2019-01-08 03:12:00,1
2019-01-08 07:26:00,1
2019-01-08 08:05:00,1
2019-01-08 08:28:00,1
2019-01-08 09:17:00,1
2019-01-08 09:18:00,2
2019-01-08 09:19:00,1
2019-01-08 09:31:00,1
2019-01-08 09:51:00,1
2019-01-08 09:52:00,1
2019-01-08 09:53:00,1
2019-01-08 10:33:00,1
2019-01-08 11:15:00,1
2019-01-08 11:39:00,4
2019-01-08 11:40:00,2
2019-01-08 11:50:00,1
2019-01-08 12:38:00,2
2019-01-08 13:04:00,1
2019-01-08 13:15:00,1
2019-01-08 13:56:00,1
2019-01-08 13:57:00,1
2019-01-08 13:58:00,1
2019-01-08 13:59:00,1
2019-01-08 14:08:00,1
2019-01-08 14:09:00,1
2019-01-08 14:15:00,1
2019-01-08 14:48:00,1
2019-01-08 16:02:00,1
2019-01-08 16:16:00,1
2019-01-08 16:44:00,1
2019-01-08 16:53:00,2
2019-01-08 16:54:00,1
2019-01-08 19:38:00,1
2019-01-08 19:43:00,1
2019-01-08 19:44:00,1
2019-01-08 19:48:00,1
2019-01-08 21:51:00,1
2019-01-09 02:21:00,1
2019-01-09 02:50:00,1
2019-01-09 03:59:00,1
2019-01-09 04:29:00,2
2019-01-09 04:32:00,2
2019-01-09 05:25:00,1
2019-01-09 06:18:00,1
