17,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = GALAXY"
2019-01-18 23:38:00,1
2019-02-26 05:18:00,1
2019-02-26 05:19:00,1
2019-02-26 05:27:00,1
2019-02-26 22:05:00,1
2019-02-26 22:06:00,1
2019-05-09 17:15:00,1
2019-05-09 17:25:00,1
2019-05-09 17:52:00,1
2019-05-10 04:23:00,1
2019-05-10 04:24:00,1
2019-05-14 17:57:00,2
2019-05-14 17:59:00,1
2019-05-14 18:01:00,1
2019-07-29 02:17:00,1
2019-09-23 22:41:00,1
