3,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, .#) n where p.objid = n.objid"
2019-10-31 19:28:00,1
2019-10-31 19:29:00,1
2019-11-05 17:34:00,1
