36,select top # z from SpecPhoto where dec IN ()
2019-07-18 02:32:00,6
2019-07-18 02:33:00,3
2019-07-18 02:38:00,5
2019-07-18 02:39:00,6
2019-07-18 02:40:00,5
2019-07-18 02:41:00,6
2019-07-18 02:42:00,5
