3,"SELECT top # z, ra, dec FROM specObj WHERE class = # AND ra > # AND ra < # AND dec > # AND dec < +# AND z > # AND z < # AND zWarning = #"
2019-06-03 01:43:00,1
2019-11-14 02:38:00,1
2019-11-14 02:39:00,1
