90,select fieldid from field where devmodelapcorrection_i between -.# and # and psfb_u between # and #
2019-01-28 23:18:00,1
2019-01-28 23:21:00,24
2019-01-28 23:22:00,14
2019-02-26 13:42:00,21
2019-02-26 13:43:00,30
