23,"select top # p.objid, p.ra, p.dec, s.z as redshift from photoobj p, specobj s where p.objid = s.bestobjid and (s.class = #) and s.z BETWEEN # AND #"
2019-03-26 08:27:00,2
2019-03-26 08:28:00,1
2019-03-26 08:57:00,1
2019-03-26 08:59:00,1
2019-03-26 09:00:00,2
2019-04-02 07:48:00,3
2019-04-02 07:50:00,2
2019-04-02 08:38:00,1
2019-04-02 08:42:00,2
2019-04-02 08:44:00,1
2019-10-06 05:36:00,4
2019-10-06 05:37:00,3
