35,"SELECT TOP # p.ra, p.dec, p.type, p.modelmag_g, p.modelmag_r, p.modelmag_i, p.run, p.rerun, p.camcol, p.field, p.obj, p.objid, dbo.fIAUFromEq (p.ra, p.dec) , p.z, p.specobjid FROM SpecPhotoAll as p WHERE p.ra< # and p.ra> # and p.dec> # and p.dec< # and p.type is not # order by p.modelmag_r"
2019-03-03 09:17:00,1
2019-03-03 09:19:00,2
2019-03-03 09:27:00,1
2019-03-03 09:30:00,2
2019-03-03 09:31:00,1
2019-03-03 09:34:00,1
2019-03-03 09:36:00,1
2019-03-03 10:47:00,1
2019-03-03 10:50:00,2
2019-03-03 10:52:00,1
2019-03-03 10:56:00,1
2019-03-03 11:09:00,1
2019-03-03 11:13:00,2
2019-03-03 11:14:00,1
2019-03-03 11:19:00,1
2019-03-03 11:22:00,1
2019-03-03 11:29:00,2
2019-03-03 11:51:00,1
2019-03-03 11:54:00,1
2019-03-03 11:55:00,1
2019-03-03 11:56:00,1
2019-03-03 12:00:00,1
2019-03-03 12:20:00,1
2019-03-03 12:23:00,2
2019-03-03 12:24:00,1
2019-03-03 12:29:00,1
2019-03-03 12:31:00,1
2019-03-03 12:38:00,2
