2,"SELECT TOP # w.w1mpro as w1, w.w2mpro as w2, w.w3mpro as w3, w.w1snr, w.w2snr, w.w3snr FROM WISE_xmatch AS x JOIN (SELECT * FROM WISE_allsky WHERE WISE_allsky.w1snr > # AND WISE_allsky.w2snr > # AND WISE_allsky.w3snr > #) AS w ON x.wise_cntr = w.cntr JOIN SpecPhotoAll AS p ON x.sdss_objid = p.objid JOIN (SELECT * FROM SpecObjAll WHERE SpecObjAll.z < #) AS s ON s.specobjid = p.specobjid JOIN GalSpecLine AS g ON s.specobjid = g.specobjid WHERE (s.class = # or s.class = #)"
2019-08-25 20:20:00,1
2019-08-25 20:22:00,1
