50,"SELECT TOP # s.z, s.zErr, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = # AND (s.class = #) AND (p.type = # OR p.type = #)"
2019-12-02 00:22:00,1
2019-12-02 00:23:00,1
2019-12-02 00:31:00,2
2019-12-02 00:36:00,3
2019-12-02 00:40:00,1
2019-12-02 00:53:00,2
2019-12-02 00:57:00,2
2019-12-02 01:01:00,2
2019-12-02 01:02:00,1
2019-12-02 01:06:00,1
2019-12-02 01:07:00,1
2019-12-02 01:12:00,3
2019-12-02 01:13:00,3
2019-12-02 01:14:00,2
2019-12-02 01:19:00,1
2019-12-02 01:20:00,1
2019-12-03 14:38:00,1
2019-12-03 14:39:00,1
2019-12-03 14:57:00,2
2019-12-03 14:59:00,1
2019-12-03 15:20:00,1
2019-12-03 15:21:00,2
2019-12-03 15:23:00,1
2019-12-03 15:28:00,2
2019-12-03 17:20:00,2
2019-12-03 17:24:00,1
2019-12-03 17:25:00,1
2019-12-03 17:31:00,1
2019-12-03 17:37:00,1
2019-12-13 17:45:00,2
2019-12-13 17:48:00,1
2019-12-13 17:51:00,1
2019-12-13 17:53:00,1
2019-12-13 17:57:00,1
