2617,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and .#
2019-02-26 17:04:00,4
2019-02-26 17:17:00,14
2019-02-27 11:11:00,2
2019-02-27 11:35:00,10
2019-02-27 11:36:00,4
2019-02-27 11:42:00,1
2019-02-27 11:43:00,15
2019-02-27 11:44:00,17
2019-02-28 07:43:00,1
2019-03-01 09:33:00,6
2019-03-01 10:23:00,4
2019-03-01 13:14:00,3
2019-03-01 13:15:00,1
2019-03-01 13:16:00,2
2019-03-01 13:49:00,13
2019-03-01 15:39:00,8
2019-03-01 15:40:00,10
2019-03-01 16:17:00,1
2019-03-01 16:27:00,5
2019-03-01 16:28:00,8
2019-03-01 16:34:00,5
2019-03-01 16:35:00,23
2019-03-01 18:09:00,41
2019-03-01 18:10:00,68
2019-03-02 04:21:00,3
2019-03-02 04:22:00,3
2019-03-02 13:59:00,4
2019-03-02 14:10:00,4
2019-03-03 10:30:00,4
2019-03-03 18:21:00,3
2019-03-03 18:22:00,1
2019-03-03 18:23:00,1
2019-03-03 18:26:00,1
2019-03-03 18:33:00,1
2019-03-03 18:34:00,2
2019-03-03 18:35:00,2
2019-03-03 18:36:00,2
2019-03-03 18:37:00,2
2019-03-03 18:38:00,3
2019-03-03 20:00:00,2
2019-03-03 20:01:00,2
2019-03-03 20:02:00,2
2019-03-03 21:07:00,1
2019-03-03 21:09:00,2
2019-03-03 21:10:00,1
2019-03-03 21:11:00,4
2019-03-03 21:12:00,1
2019-03-04 19:02:00,4
2019-03-04 19:05:00,1
2019-03-04 19:19:00,3
2019-03-04 19:20:00,2
2019-03-05 07:47:00,196
2019-03-05 07:48:00,18
2019-03-05 07:56:00,11
2019-03-05 07:57:00,4
2019-03-05 08:23:00,5
2019-03-08 02:36:00,82
2019-03-08 02:53:00,6
2019-03-08 02:54:00,4
2019-03-08 02:55:00,6
2019-03-08 02:58:00,34
2019-03-08 03:00:00,2
2019-03-08 03:02:00,1
2019-03-08 03:11:00,3
2019-03-08 04:37:00,25
2019-03-08 07:33:00,39
2019-03-08 07:35:00,11
2019-03-08 07:36:00,40
2019-03-08 07:37:00,11
2019-03-08 07:38:00,6
2019-03-08 07:40:00,20
2019-03-08 07:41:00,6
2019-03-08 07:42:00,3
2019-03-08 08:08:00,4
2019-03-08 08:42:00,8
2019-03-08 08:43:00,40
2019-03-08 09:11:00,4
2019-03-08 09:12:00,16
2019-03-08 09:13:00,19
2019-03-08 09:15:00,4
2019-03-08 09:16:00,6
2019-03-08 09:19:00,13
2019-03-08 09:43:00,3
2019-03-08 09:44:00,8
2019-03-08 14:10:00,4
2019-03-08 18:25:00,13
2019-03-08 18:31:00,2
2019-03-09 02:38:00,1
2019-03-09 05:40:00,4
2019-03-09 19:28:00,5
2019-03-10 19:30:00,3
2019-03-10 22:13:00,2
2019-03-11 02:32:00,3
2019-03-11 03:20:00,12
2019-03-11 03:21:00,7
2019-03-11 03:41:00,1
2019-03-11 03:42:00,3
2019-03-11 04:11:00,10
2019-03-11 21:41:00,5
2019-03-11 21:42:00,1
2019-03-12 07:28:00,1
2019-03-12 08:17:00,1
2019-03-12 09:41:00,1
2019-03-12 09:42:00,13
2019-03-12 09:43:00,2
2019-03-12 10:05:00,7
2019-03-12 10:06:00,5
2019-03-12 10:26:00,8
2019-03-12 18:51:00,22
2019-03-12 20:30:00,8
2019-03-12 20:31:00,1
2019-03-12 20:36:00,12
2019-03-12 20:40:00,10
2019-03-12 20:42:00,21
2019-03-12 20:43:00,11
2019-03-12 20:44:00,6
2019-03-12 20:47:00,2
2019-03-12 21:02:00,11
2019-03-13 22:53:00,5
2019-03-13 22:54:00,2
2019-03-13 22:56:00,2
2019-03-13 23:05:00,14
2019-03-13 23:06:00,5
2019-03-13 23:08:00,4
2019-03-13 23:09:00,11
2019-03-13 23:10:00,16
2019-03-13 23:12:00,5
2019-03-13 23:13:00,1
2019-03-13 23:14:00,1
2019-03-13 23:22:00,2
2019-03-13 23:37:00,10
2019-03-13 23:52:00,9
2019-03-14 00:39:00,1
