909,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.mjd FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-05-29 20:46:00,1
2019-05-29 20:58:00,20
2019-05-29 20:59:00,244
2019-05-29 21:00:00,246
2019-05-29 21:01:00,241
2019-05-29 21:02:00,150
2019-05-29 21:06:00,1
2019-06-05 16:34:00,1
2019-06-05 17:58:00,1
2019-06-05 23:29:00,1
2019-06-07 17:21:00,1
2019-06-07 17:25:00,1
2019-06-07 17:28:00,1
