58,SELECT count (*) as #
2019-02-01 13:13:00,1
2019-02-01 13:15:00,1
2019-02-01 13:16:00,1
2019-07-21 05:27:00,2
2019-07-21 05:28:00,1
2019-07-21 05:29:00,2
2019-07-21 05:30:00,2
2019-07-21 05:31:00,2
2019-07-21 05:40:00,3
2019-07-21 05:45:00,4
2019-07-21 05:47:00,1
2019-08-05 19:31:00,2
2019-08-05 19:32:00,2
2019-08-08 09:07:00,1
2019-08-08 09:09:00,1
2019-08-08 09:11:00,1
2019-08-08 09:15:00,1
2019-08-08 09:16:00,1
2019-08-08 09:18:00,1
2019-08-12 23:17:00,1
2019-09-12 09:06:00,1
2019-09-24 08:44:00,1
2019-09-24 08:46:00,2
2019-09-24 08:50:00,1
2019-09-24 08:51:00,3
2019-09-24 08:52:00,1
2019-09-24 08:53:00,2
2019-09-24 08:55:00,2
2019-09-24 08:56:00,1
2019-09-24 08:57:00,2
2019-09-24 09:01:00,1
2019-09-24 09:30:00,1
2019-09-24 09:32:00,1
2019-09-24 09:37:00,1
2019-09-24 09:39:00,2
2019-09-24 09:40:00,1
2019-09-24 09:44:00,1
2019-09-24 09:45:00,1
2019-09-27 09:16:00,1
2019-09-27 09:17:00,1
