3,"select ra, dec, u, g, r, i, z, modelMagErr_u, modelMagErr_g, modelMagErr_i, modelMagErr_z from star where g < # and (ra between # and #) and (dec between # and #) and clean = #"
2019-07-25 19:25:00,1
2019-07-25 19:26:00,2
