185,"SELECT top # visit.*, aspcap.teff, aspcap.logg, aspcap.metals FROM apogeeVisit visit JOIN apogeeStarVisit starvisit on visit.visit_id = starvisit.visit_id JOIN aspcapStar aspcap on aspcap.apstar_id = starvisit.apstar_id JOIN apogeeStar star on star.apstar_id = starvisit.apstar_id WHERE (aspcap.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and aspcap.teff > # and (star.apogee_target1 & dbo.fApogeeTarget1 (#) ) > # and star.nvisits > # ORDER BY visit.apogee_id"
2019-01-01 10:11:00,1
2019-01-02 02:00:00,1
2019-01-05 09:39:00,1
2019-01-07 12:35:00,1
2019-01-07 12:36:00,1
2019-01-08 06:59:00,1
2019-01-10 22:49:00,1
2019-01-24 13:53:00,1
2019-01-25 17:59:00,1
2019-01-25 22:22:00,1
2019-01-27 22:53:00,1
2019-01-28 16:20:00,1
2019-01-29 03:52:00,1
2019-02-02 15:52:00,1
2019-02-08 05:24:00,1
2019-02-11 22:24:00,1
2019-02-12 19:55:00,1
2019-02-12 20:00:00,1
2019-02-17 00:27:00,1
2019-02-17 14:55:00,1
2019-02-19 00:17:00,1
2019-02-26 03:01:00,1
2019-02-28 09:01:00,1
2019-03-01 22:11:00,1
2019-03-05 20:14:00,1
2019-03-06 15:14:00,1
2019-03-07 14:13:00,1
2019-03-08 18:30:00,1
2019-03-08 22:10:00,1
2019-03-09 07:25:00,1
2019-03-09 12:26:00,1
2019-03-10 18:41:00,1
2019-03-11 11:21:00,1
2019-03-11 19:32:00,1
2019-03-12 21:10:00,1
2019-03-14 01:11:00,1
2019-03-15 19:52:00,1
2019-03-25 02:29:00,1
2019-03-26 11:19:00,1
2019-03-26 12:39:00,1
2019-03-28 18:46:00,1
2019-03-29 18:50:00,1
2019-03-30 10:05:00,1
2019-04-01 20:17:00,1
2019-04-04 13:46:00,1
2019-04-07 19:21:00,1
2019-04-13 03:38:00,1
2019-04-14 03:45:00,1
2019-04-14 13:12:00,1
2019-04-18 10:16:00,2
2019-04-19 12:39:00,1
2019-04-22 20:03:00,1
2019-04-22 23:43:00,1
2019-04-28 03:56:00,1
2019-04-28 13:23:00,1
2019-04-30 11:52:00,1
2019-05-03 12:59:00,1
2019-05-06 08:55:00,1
2019-05-11 07:47:00,1
2019-05-12 05:46:00,1
2019-05-14 08:33:00,1
2019-05-15 23:18:00,1
2019-05-17 05:07:00,1
2019-05-17 05:13:00,1
2019-05-20 19:40:00,1
2019-05-21 06:59:00,1
2019-05-24 20:10:00,1
2019-05-25 07:40:00,1
2019-05-29 04:50:00,1
2019-05-30 04:20:00,1
2019-05-31 15:40:00,1
2019-05-31 18:01:00,1
2019-06-01 18:41:00,1
2019-06-05 18:46:00,1
2019-06-09 07:28:00,1
2019-06-09 11:25:00,1
2019-06-09 14:34:00,1
2019-06-11 02:00:00,1
2019-06-11 23:04:00,1
2019-06-13 00:36:00,1
2019-06-13 00:37:00,1
2019-06-16 18:02:00,1
2019-06-19 14:26:00,1
2019-06-20 02:51:00,1
2019-06-23 18:05:00,1
2019-06-27 03:13:00,1
2019-06-27 09:03:00,1
2019-06-27 20:02:00,1
2019-07-02 19:06:00,1
2019-07-03 10:21:00,1
2019-07-05 21:27:00,1
2019-07-08 06:00:00,2
2019-07-11 03:20:00,1
2019-07-12 03:36:00,1
2019-07-13 05:06:00,1
2019-07-14 02:28:00,1
2019-07-20 05:24:00,1
2019-07-25 09:00:00,1
2019-07-28 08:51:00,1
2019-08-04 05:20:00,1
2019-08-04 21:51:00,1
2019-08-09 15:00:00,1
2019-08-11 01:18:00,1
2019-08-12 17:13:00,1
2019-08-17 10:23:00,1
2019-08-27 00:00:00,1
2019-08-27 23:06:00,1
2019-08-28 00:29:00,1
2019-09-01 08:46:00,1
2019-09-02 18:26:00,1
2019-09-07 12:22:00,1
2019-09-07 17:44:00,1
2019-09-10 05:00:00,1
2019-09-10 08:32:00,1
2019-09-12 09:16:00,1
2019-09-15 00:33:00,1
2019-09-18 11:53:00,1
2019-09-18 14:23:00,1
2019-09-18 18:02:00,1
2019-09-18 19:31:00,1
2019-09-20 00:59:00,1
2019-09-21 13:25:00,1
2019-09-23 06:04:00,1
2019-09-25 16:35:00,1
2019-09-26 05:13:00,1
2019-09-28 04:57:00,1
2019-09-29 22:35:00,1
2019-10-02 07:24:00,1
2019-10-03 20:23:00,1
2019-10-08 03:49:00,1
2019-10-09 17:27:00,1
2019-10-09 17:35:00,1
2019-10-16 18:07:00,1
2019-10-17 13:14:00,1
2019-10-19 04:49:00,1
2019-10-21 11:08:00,1
2019-10-22 15:02:00,1
2019-10-23 00:06:00,1
2019-10-24 15:23:00,1
2019-10-26 05:58:00,1
2019-10-30 17:51:00,1
2019-11-01 20:12:00,1
2019-11-02 00:23:00,1
2019-11-04 14:06:00,1
2019-11-08 11:06:00,1
2019-11-08 21:18:00,1
2019-11-09 16:46:00,1
2019-11-13 19:20:00,1
2019-11-14 04:05:00,1
2019-11-15 02:59:00,1
2019-11-15 20:31:00,1
2019-11-15 23:20:00,1
2019-11-16 13:13:00,1
2019-11-16 22:05:00,1
2019-11-19 19:25:00,1
2019-11-22 09:01:00,1
2019-11-27 12:58:00,1
2019-12-01 00:34:00,1
2019-12-05 00:18:00,1
2019-12-05 01:09:00,1
2019-12-05 03:03:00,1
2019-12-05 11:05:00,1
2019-12-05 11:06:00,1
2019-12-06 10:04:00,1
2019-12-07 14:21:00,1
2019-12-07 22:52:00,1
2019-12-08 08:06:00,1
2019-12-08 16:55:00,1
2019-12-09 02:03:00,1
2019-12-12 00:53:00,1
2019-12-12 10:56:00,1
2019-12-13 10:35:00,1
2019-12-13 13:54:00,1
2019-12-17 09:30:00,1
2019-12-18 10:58:00,1
2019-12-19 18:49:00,1
2019-12-22 14:10:00,1
2019-12-23 08:58:00,1
2019-12-25 05:12:00,1
2019-12-27 13:21:00,1
2019-12-28 04:13:00,1
2019-12-30 07:02:00,1
2019-12-30 19:49:00,1
