5,"SELECT avg (x) - # as dx , avg (y) - # as dy, avg (z) # as dz FROM mr TABLESAMPLE (.# PERCENT)"
2019-07-17 09:36:00,1
2019-07-17 09:37:00,1
2019-07-17 09:38:00,3
