1673,"SELECT ALL p.ra, p.dec, p.objID, p.expAB_r FROM Galaxy AS p WHERE p.objID = #"
2019-11-23 03:13:00,10
2019-11-23 03:32:00,1
2019-11-23 03:33:00,19
2019-11-23 03:34:00,19
2019-11-23 03:35:00,21
2019-11-23 03:36:00,21
2019-11-23 03:37:00,19
2019-11-23 03:38:00,20
2019-11-23 03:39:00,21
2019-11-23 03:40:00,20
2019-11-23 03:41:00,21
2019-11-23 03:42:00,20
2019-11-23 03:43:00,20
2019-11-23 03:44:00,20
2019-11-23 03:45:00,20
2019-11-23 03:46:00,20
2019-11-23 03:47:00,20
2019-11-23 03:48:00,20
2019-11-23 05:43:00,16
2019-11-23 05:44:00,17
2019-11-23 05:45:00,18
2019-11-23 05:46:00,16
2019-11-23 05:47:00,18
2019-11-23 05:48:00,18
2019-11-23 05:49:00,16
2019-11-23 05:50:00,18
2019-11-23 05:51:00,17
2019-11-23 05:52:00,16
2019-11-23 05:53:00,17
2019-11-23 05:54:00,18
2019-11-23 05:55:00,18
2019-11-23 05:56:00,15
2019-11-23 05:57:00,15
2019-11-23 05:58:00,17
2019-11-23 05:59:00,16
2019-11-23 06:00:00,16
2019-11-23 06:01:00,18
2019-11-23 06:02:00,16
2019-11-23 06:03:00,16
2019-11-23 06:04:00,17
2019-11-23 06:05:00,18
2019-11-23 06:06:00,16
2019-11-23 06:07:00,15
2019-11-23 06:08:00,16
2019-11-23 06:09:00,17
2019-11-23 06:10:00,15
2019-11-23 06:11:00,14
2019-11-23 06:12:00,13
2019-11-23 06:13:00,17
2019-11-23 06:14:00,16
2019-11-23 06:15:00,16
2019-11-23 06:16:00,19
2019-11-23 06:17:00,17
2019-11-23 06:18:00,18
2019-11-23 06:19:00,18
2019-11-23 06:20:00,17
2019-11-23 06:21:00,17
2019-11-23 06:22:00,16
2019-11-23 06:23:00,16
2019-11-23 06:24:00,15
2019-11-23 06:25:00,16
2019-11-23 06:26:00,18
2019-11-23 06:27:00,14
2019-11-23 06:28:00,18
2019-11-23 06:29:00,15
2019-11-23 06:30:00,18
2019-11-23 06:31:00,17
2019-11-23 06:32:00,16
2019-11-23 06:33:00,17
2019-11-23 06:34:00,17
2019-11-23 06:35:00,17
2019-11-23 06:36:00,15
2019-11-23 06:37:00,17
2019-11-23 06:38:00,16
2019-11-23 06:39:00,17
2019-11-23 06:40:00,15
2019-11-23 06:41:00,16
2019-11-23 06:42:00,17
2019-11-23 06:43:00,15
2019-11-23 06:44:00,16
2019-11-23 06:45:00,16
2019-11-23 06:46:00,18
2019-11-23 06:47:00,17
2019-11-23 06:48:00,15
2019-11-23 06:49:00,16
2019-11-23 06:50:00,16
2019-11-23 06:51:00,19
2019-11-23 06:52:00,15
2019-11-23 06:53:00,19
2019-11-23 06:54:00,17
2019-11-23 06:55:00,18
2019-11-23 06:56:00,19
2019-11-23 06:57:00,16
2019-11-23 06:58:00,20
2019-11-23 06:59:00,19
2019-11-23 07:00:00,17
2019-11-23 07:01:00,17
2019-11-23 07:02:00,16
2019-11-23 07:03:00,9
