168,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.devAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-09-18 11:02:00,1
2019-09-30 12:53:00,1
2019-10-01 07:30:00,1
2019-10-01 07:31:00,1
2019-10-01 07:48:00,1
2019-10-01 09:20:00,1
2019-10-10 06:42:00,1
2019-10-21 18:52:00,1
2019-10-21 19:05:00,2
2019-10-29 07:56:00,1
2019-10-29 07:58:00,1
2019-10-29 08:00:00,2
2019-10-29 08:17:00,1
2019-10-29 08:18:00,1
2019-10-29 08:23:00,1
2019-10-29 08:26:00,1
2019-10-29 08:33:00,1
2019-10-29 08:42:00,1
2019-10-29 08:49:00,1
2019-10-29 11:33:00,1
2019-10-29 13:16:00,1
2019-11-04 06:22:00,1
2019-11-04 06:31:00,1
2019-11-04 06:32:00,1
2019-11-04 06:33:00,1
2019-11-06 13:38:00,1
2019-11-06 17:47:00,1
2019-11-07 12:01:00,1
2019-11-09 08:54:00,1
2019-11-13 17:20:00,1
2019-11-19 06:18:00,1
2019-11-19 07:12:00,1
2019-11-19 07:37:00,1
2019-11-19 07:44:00,1
2019-11-19 08:00:00,1
2019-11-19 08:07:00,1
2019-11-19 12:12:00,1
2019-11-19 14:38:00,1
2019-11-22 04:49:00,1
2019-11-22 07:01:00,2
2019-11-22 09:38:00,1
2019-11-22 09:49:00,1
2019-11-22 09:55:00,1
2019-11-22 10:10:00,1
2019-11-22 10:12:00,1
2019-11-22 10:22:00,1
2019-11-22 10:51:00,1
2019-11-22 11:02:00,1
2019-11-22 11:06:00,1
2019-11-23 09:30:00,1
2019-11-23 10:15:00,1
2019-11-23 11:44:00,1
2019-11-23 12:01:00,1
2019-11-23 12:03:00,1
2019-11-23 13:32:00,1
2019-11-23 14:56:00,1
2019-11-23 15:41:00,1
2019-11-23 16:31:00,1
2019-11-24 10:08:00,1
2019-11-24 10:25:00,1
2019-11-24 10:59:00,1
2019-11-24 11:00:00,1
2019-11-24 12:01:00,1
2019-11-24 16:18:00,1
2019-11-25 07:02:00,1
2019-11-25 07:50:00,1
2019-11-25 07:52:00,1
2019-11-25 08:07:00,1
2019-11-25 09:18:00,1
2019-11-25 12:56:00,1
2019-11-25 12:59:00,1
2019-11-26 05:13:00,1
2019-11-26 05:26:00,1
2019-11-26 05:31:00,1
2019-11-26 05:46:00,1
2019-11-26 06:02:00,1
2019-11-26 07:18:00,1
2019-11-26 07:38:00,1
2019-11-26 07:40:00,1
2019-11-26 09:09:00,1
2019-11-26 09:31:00,2
2019-11-26 10:49:00,1
2019-11-26 11:43:00,1
2019-11-26 12:18:00,1
2019-11-26 15:01:00,1
2019-11-27 05:14:00,1
2019-11-27 08:33:00,1
2019-11-27 14:53:00,1
2019-11-27 15:19:00,1
2019-11-27 15:29:00,1
2019-11-27 15:42:00,1
2019-11-28 05:02:00,1
2019-11-28 05:05:00,1
2019-11-28 05:15:00,1
2019-11-28 05:55:00,1
2019-11-28 06:02:00,1
2019-11-28 06:06:00,2
2019-11-28 06:36:00,1
2019-11-28 06:41:00,1
2019-11-28 07:04:00,1
2019-11-28 09:49:00,1
2019-11-28 10:51:00,1
2019-11-28 11:13:00,1
2019-11-28 11:50:00,1
2019-11-28 11:51:00,1
2019-11-28 11:52:00,1
2019-11-28 14:00:00,2
2019-11-28 14:07:00,1
2019-11-28 14:09:00,1
2019-11-28 14:13:00,1
2019-11-28 14:15:00,1
2019-11-28 14:35:00,1
2019-11-28 15:43:00,1
2019-11-28 15:44:00,4
2019-11-28 15:53:00,2
2019-11-28 15:55:00,1
2019-11-28 15:56:00,1
2019-11-28 16:46:00,1
2019-11-28 17:58:00,1
2019-11-29 04:21:00,1
2019-11-29 04:30:00,1
2019-11-29 06:50:00,1
2019-11-29 08:20:00,1
2019-11-29 08:26:00,1
2019-11-29 09:52:00,1
2019-11-29 10:03:00,1
2019-11-29 10:12:00,1
2019-11-29 10:13:00,1
2019-11-29 11:20:00,1
2019-11-29 11:33:00,1
2019-11-29 12:37:00,1
2019-11-29 13:05:00,1
2019-11-30 12:59:00,1
2019-11-30 16:11:00,1
2019-11-30 16:12:00,1
2019-12-01 07:13:00,1
2019-12-01 07:37:00,1
2019-12-01 07:39:00,1
2019-12-01 07:40:00,2
2019-12-01 07:42:00,1
2019-12-01 07:49:00,1
2019-12-01 07:50:00,1
2019-12-01 10:14:00,1
2019-12-01 15:39:00,1
2019-12-02 08:14:00,1
2019-12-02 09:17:00,1
2019-12-02 10:16:00,1
2019-12-02 12:11:00,1
2019-12-03 10:35:00,1
2019-12-03 11:27:00,1
2019-12-03 14:16:00,1
2019-12-04 01:58:00,1
2019-12-04 05:51:00,1
2019-12-04 07:00:00,1
2019-12-04 09:38:00,1
2019-12-04 16:54:00,1
2019-12-04 17:35:00,1
