2,"SELECT u.up_name as name, p.objid, p.u, p.g, p.r, p.i , p.z, p.psfMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObjAll p ON p.objID = x.objID ##', @log = #, @filter = #"
2019-11-05 12:45:00,1
2019-11-05 12:47:00,1
