5,"SELECT s.ra as ra, s.dec as dec, s.z as z, p.petroMag_r as mag, p.petroRad_r as radius FROM specObj s INNER JOIN PhotoObj p ON s.bestObjID = p.objID WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.class = #"
2019-05-04 09:15:00,1
2019-05-04 09:16:00,3
2019-05-04 09:17:00,1
