35,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # AND #) and s.z BETWEEN .# AND .# order by p.g"
2019-03-11 04:24:00,1
2019-03-11 04:25:00,1
2019-03-11 04:33:00,1
2019-03-11 04:57:00,1
2019-03-11 05:01:00,1
2019-03-11 05:07:00,1
2019-03-11 17:29:00,1
2019-03-12 02:55:00,1
2019-03-12 02:56:00,2
2019-03-12 02:57:00,1
2019-03-12 02:58:00,1
2019-03-12 02:59:00,1
2019-03-12 03:00:00,1
2019-03-12 03:03:00,1
2019-03-12 03:06:00,1
2019-03-12 03:10:00,1
2019-03-12 03:12:00,1
2019-03-12 03:14:00,1
2019-03-12 03:15:00,1
2019-03-12 03:16:00,1
2019-03-13 09:12:00,1
2019-03-13 09:15:00,1
2019-03-13 09:17:00,1
2019-03-13 09:21:00,1
2019-03-13 09:27:00,1
2019-03-13 09:30:00,1
2019-03-13 09:31:00,1
2019-03-13 09:37:00,1
2019-03-14 20:20:00,1
2019-03-14 20:35:00,1
2019-03-14 20:36:00,1
2019-03-14 20:39:00,1
2019-03-14 20:54:00,1
2019-03-14 20:57:00,1
