377,"SELECT TOP # ra, dec from PhotoObjAll WHERE ra BETWEEN # and #"
2019-01-21 12:45:00,1
2019-01-21 12:56:00,1
2019-01-21 13:00:00,3
2019-01-21 13:01:00,1
2019-01-21 13:12:00,66
2019-01-21 13:13:00,106
2019-01-21 13:35:00,100
2019-01-21 13:36:00,8
2019-01-21 13:37:00,12
2019-01-21 13:38:00,12
2019-01-21 13:39:00,10
2019-01-21 13:40:00,12
2019-01-21 13:41:00,11
2019-01-21 13:42:00,12
2019-01-21 13:43:00,10
2019-01-21 13:44:00,10
2019-01-21 13:45:00,2
