7,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #)"
2019-03-26 19:11:00,2
2019-03-26 22:36:00,1
2019-06-16 19:22:00,1
2019-06-16 19:31:00,1
2019-06-16 19:39:00,2
