2,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #) or # = utl_inaddr.get_host_address ((chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) )) and # = #"
2019-02-02 22:24:00,1
2019-02-02 22:26:00,1
