30,"SELECT * FROM (SELECT *, ROW_NUMBER () OVER (ORDER BY specObjID) AS RowNum FROM [specphoto]) AS MyNewTable WHERE MyNewTable.RowNum BETWEEN # AND #"
2019-12-05 00:24:00,1
2019-12-05 00:25:00,1
2019-12-05 00:26:00,2
2019-12-05 00:55:00,1
2019-12-05 00:57:00,2
2019-12-05 00:58:00,1
2019-12-05 00:59:00,1
2019-12-05 01:03:00,4
2019-12-05 01:04:00,1
2019-12-19 21:32:00,1
2019-12-19 21:35:00,1
2019-12-19 21:36:00,2
2019-12-19 21:39:00,1
2019-12-19 21:41:00,2
2019-12-19 21:42:00,1
2019-12-19 21:43:00,4
2019-12-19 21:45:00,2
2019-12-19 21:54:00,1
2019-12-19 22:17:00,1
