2,"select TOP # specObjID, class, subClass, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, z from SpecPhoto where modelMag_r < # AND class = # AND zWarning = # order by z"
2019-04-04 02:29:00,1
2019-04-04 02:50:00,1
