4,"select TOP # p.objid, p.ra, p.dec, p.nuv_mag, p.nuv_magerr, p.fuv_mag, p.fuv_magerr, nuv_weight, nuv_artifact into mydb.MyTable_# from GalexGR6.PhotoObjAll as p where p.ra> # and p.ra< #"
2019-11-04 17:35:00,1
2019-11-04 17:36:00,2
2019-11-04 17:37:00,1
