2,"SELECT p.objid, p.ra, p.dec into mydb.MyTable_# from DR1#.PhotoObj p, dbo.fGetNearbyObjEq (#, #, #) n WHERE n.objID = p.objID"
2019-10-31 09:05:00,1
2019-10-31 09:07:00,1
