14,"INSERT INTO #upload values (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, #, #, #) , (#, #, #, '#"
2019-11-05 06:23:00,1
2019-11-05 07:29:00,1
2019-11-05 07:53:00,1
2019-11-11 06:15:00,1
2019-11-11 06:16:00,3
2019-11-11 06:17:00,1
2019-11-11 07:21:00,2
2019-11-11 07:22:00,2
2019-11-11 07:23:00,1
2019-11-20 07:19:00,1
