39,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field, p.colc_u, p.rowc_u, p.colc_g, p.rowc_g, p.colc_r, p.rowc_r, p.colc_i, p.rowc_i, p.colc_z, p.rowc_z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-12 17:15:00,1
2019-02-12 17:16:00,2
2019-02-12 17:17:00,13
2019-02-12 17:18:00,2
2019-02-12 17:19:00,3
2019-02-12 17:20:00,4
2019-02-12 17:21:00,3
2019-02-12 17:22:00,3
2019-02-12 17:23:00,3
2019-02-12 17:24:00,3
2019-02-13 11:56:00,1
2019-02-13 11:58:00,1
