1180,"SELECT objID, ra, dec FROM PhotoObj WHERE (ra between # and #) and (dec between # and #)"
2019-01-01 08:54:00,1
2019-01-01 11:11:00,1
2019-01-02 00:20:00,1
2019-01-02 00:50:00,1
2019-01-02 00:52:00,1
2019-01-03 11:07:00,1
2019-01-03 13:32:00,1
2019-01-03 14:31:00,1
2019-01-04 00:55:00,1
2019-01-05 05:24:00,1
2019-01-05 05:25:00,1
2019-01-05 05:27:00,2
2019-01-05 06:50:00,1
2019-01-05 07:24:00,1
2019-01-05 11:34:00,1
2019-01-06 12:43:00,1
2019-01-06 13:19:00,1
2019-01-06 18:36:00,1
2019-01-06 19:32:00,1
2019-01-07 00:12:00,1
2019-01-07 10:13:00,1
2019-01-07 11:02:00,1
2019-01-07 23:34:00,1
2019-01-07 23:50:00,1
2019-01-08 03:00:00,1
2019-01-08 03:31:00,1
2019-01-08 05:22:00,1
2019-01-08 06:28:00,1
2019-01-08 07:29:00,1
2019-01-08 08:04:00,1
2019-01-08 08:42:00,1
2019-01-08 10:32:00,1
2019-01-08 23:51:00,1
2019-01-09 01:17:00,1
2019-01-09 05:36:00,1
2019-01-10 02:11:00,1
2019-01-10 13:17:00,2
2019-01-10 21:55:00,1
2019-01-11 04:46:00,1
2019-01-12 03:21:00,1
2019-01-12 09:14:00,1
2019-01-12 21:25:00,1
2019-01-13 08:32:00,1
2019-01-13 09:12:00,1
2019-01-14 04:59:00,1
2019-01-14 11:10:00,1
2019-01-14 23:53:00,1
2019-01-15 00:56:00,1
2019-01-15 06:28:00,1
2019-01-15 13:51:00,1
2019-01-15 20:51:00,2
2019-01-15 20:53:00,1
2019-01-15 20:54:00,1
2019-01-16 10:52:00,1
2019-01-17 04:25:00,1
2019-01-17 11:06:00,1
2019-01-17 21:56:00,2
2019-01-17 23:11:00,1
2019-01-17 23:12:00,1
2019-01-17 23:17:00,1
2019-01-18 13:43:00,1
2019-01-19 02:19:00,1
2019-01-19 20:45:00,1
2019-01-20 18:19:00,1
2019-01-21 12:58:00,1
2019-01-21 18:18:00,1
2019-01-22 08:12:00,1
2019-01-22 08:30:00,1
2019-01-22 10:18:00,1
2019-01-22 11:02:00,1
2019-01-22 13:06:00,1
2019-01-22 20:45:00,1
2019-01-22 21:13:00,1
2019-01-23 08:04:00,1
2019-01-23 08:12:00,1
2019-01-23 23:29:00,1
2019-01-24 08:12:00,1
2019-01-24 08:49:00,1
2019-01-24 09:40:00,1
2019-01-24 12:33:00,1
2019-01-25 02:00:00,1
2019-01-25 11:10:00,1
2019-01-25 12:45:00,1
2019-01-25 15:59:00,1
2019-01-25 21:18:00,1
2019-01-26 03:08:00,1
2019-01-26 10:30:00,1
2019-01-26 19:52:00,1
2019-01-27 09:38:00,1
2019-01-27 16:37:00,1
2019-01-27 21:32:00,1
2019-01-27 23:12:00,1
2019-01-28 13:01:00,1
2019-01-28 13:51:00,1
2019-01-29 00:39:00,1
2019-01-29 01:01:00,1
2019-01-29 04:54:00,1
2019-01-30 03:37:00,1
2019-01-30 03:49:00,1
2019-01-30 06:01:00,1
2019-01-30 09:33:00,1
2019-01-30 15:33:00,3
2019-01-30 15:34:00,3
2019-01-30 15:35:00,4
2019-01-30 15:36:00,3
2019-01-30 15:37:00,4
2019-01-30 15:38:00,2
2019-01-30 19:29:00,1
2019-01-30 21:02:00,1
2019-01-31 02:02:00,1
2019-01-31 04:10:00,1
2019-01-31 17:17:00,1
2019-01-31 20:00:00,1
2019-01-31 21:54:00,1
2019-02-01 05:31:00,1
2019-02-01 07:21:00,1
2019-02-01 21:09:00,1
2019-02-02 07:34:00,1
2019-02-02 14:27:00,1
2019-02-04 13:41:00,1
2019-02-04 14:14:00,1
2019-02-04 14:44:00,1
2019-02-05 04:23:00,1
2019-02-06 05:22:00,1
2019-02-06 10:55:00,1
2019-02-07 10:06:00,1
2019-02-08 00:39:00,1
2019-02-08 01:33:00,1
2019-02-08 01:51:00,1
2019-02-08 04:18:00,1
2019-02-08 15:47:00,1
2019-02-08 16:49:00,1
2019-02-08 18:15:00,1
2019-02-08 22:21:00,1
2019-02-09 03:18:00,1
2019-02-09 17:37:00,1
2019-02-09 17:57:00,1
2019-02-09 20:36:00,1
2019-02-10 05:55:00,1
2019-02-10 09:46:00,1
2019-02-10 12:06:00,1
2019-02-10 15:39:00,1
2019-02-11 04:15:00,1
2019-02-11 10:49:00,1
2019-02-11 11:16:00,1
2019-02-11 21:30:00,1
2019-02-11 22:29:00,1
2019-02-12 02:04:00,1
2019-02-12 02:33:00,1
2019-02-12 04:54:00,1
2019-02-12 06:32:00,1
2019-02-12 07:47:00,1
2019-02-12 14:14:00,1
2019-02-12 14:41:00,1
2019-02-12 14:42:00,2
2019-02-12 14:43:00,3
2019-02-12 14:44:00,1
2019-02-12 18:42:00,1
2019-02-12 18:58:00,1
2019-02-12 19:23:00,1
2019-02-13 06:58:00,1
2019-02-13 12:17:00,1
2019-02-14 12:09:00,1
2019-02-14 12:14:00,1
2019-02-14 12:17:00,1
2019-02-14 18:53:00,1
2019-02-14 20:50:00,1
2019-02-15 04:37:00,1
2019-02-15 20:59:00,1
2019-02-16 00:31:00,1
2019-02-16 05:42:00,1
2019-02-16 18:01:00,1
2019-02-17 01:05:00,1
2019-02-17 02:41:00,1
2019-02-17 09:36:00,1
2019-02-17 12:09:00,1
2019-02-17 15:38:00,1
2019-02-17 23:28:00,2
2019-02-17 23:29:00,1
2019-02-18 03:09:00,1
2019-02-18 23:17:00,1
2019-02-19 10:59:00,3
2019-02-19 11:42:00,1
2019-02-20 00:58:00,1
2019-02-20 06:14:00,1
2019-02-20 11:55:00,1
2019-02-20 11:56:00,1
2019-02-20 11:57:00,1
2019-02-21 01:45:00,1
2019-02-21 12:58:00,1
2019-02-22 06:22:00,1
2019-02-23 01:54:00,1
