1105,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z_noqso as specz_noqso, s.zErr_noqso as speczErr_noqso, s.zWarning_noqso as speczWarning_noqso, s.class, p.rowv as RowV, p.rowvErr as RowVErr, p.colv as ColV, p.colvErr as ColVErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-05-25 06:22:00,2
2019-05-25 06:23:00,4
2019-05-25 06:24:00,3
2019-05-25 06:25:00,2
2019-05-25 06:26:00,8
2019-05-25 07:06:00,2
2019-05-25 07:07:00,8
2019-05-25 07:09:00,2
2019-05-25 07:10:00,8
2019-05-25 07:17:00,1
2019-05-25 07:18:00,3
2019-05-25 07:19:00,11
2019-05-25 07:20:00,5
2019-05-25 07:21:00,5
2019-05-25 07:22:00,5
2019-05-25 10:07:00,1
2019-05-25 10:09:00,2
2019-05-25 10:10:00,8
2019-05-25 10:11:00,7
2019-05-25 10:12:00,6
2019-05-25 10:13:00,7
2019-05-25 13:01:00,2
2019-05-25 13:02:00,6
2019-05-25 13:03:00,9
2019-05-25 13:04:00,5
2019-05-25 13:05:00,7
2019-05-25 13:06:00,3
2019-05-25 13:07:00,3
2019-05-25 13:08:00,4
2019-05-25 13:09:00,2
2019-05-25 13:10:00,6
2019-05-25 13:11:00,7
2019-05-25 13:12:00,4
2019-05-25 13:13:00,7
2019-05-25 13:14:00,2
2019-05-25 13:15:00,2
2019-05-25 13:16:00,4
2019-05-25 13:17:00,8
2019-05-25 13:18:00,3
2019-05-25 13:19:00,5
2019-05-25 13:20:00,1
2019-05-25 13:21:00,2
2019-05-25 13:22:00,1
2019-05-25 13:23:00,1
2019-05-25 13:24:00,2
2019-05-25 13:25:00,3
2019-05-25 13:26:00,2
2019-05-25 13:27:00,1
2019-05-25 13:28:00,2
2019-05-25 13:29:00,1
2019-05-25 13:30:00,2
2019-05-25 13:31:00,1
2019-05-25 13:32:00,6
2019-05-25 13:33:00,2
2019-05-25 13:34:00,10
2019-05-25 13:35:00,6
2019-05-25 13:36:00,2
2019-05-25 13:37:00,3
2019-05-25 13:38:00,6
2019-05-25 13:39:00,10
2019-05-25 13:40:00,2
2019-05-25 13:41:00,2
2019-05-25 13:42:00,2
2019-05-25 13:43:00,1
2019-05-25 13:44:00,9
2019-05-25 13:45:00,5
2019-05-25 13:46:00,7
2019-05-25 13:47:00,11
2019-05-25 13:48:00,8
2019-05-25 13:49:00,6
2019-05-25 13:50:00,6
2019-05-25 13:51:00,2
2019-05-25 13:52:00,7
2019-05-25 13:53:00,11
2019-05-25 13:54:00,11
2019-05-25 13:55:00,10
2019-05-25 13:56:00,2
2019-05-25 13:57:00,3
2019-05-25 13:58:00,6
2019-05-25 13:59:00,11
2019-05-25 14:00:00,11
2019-05-25 14:01:00,11
2019-05-25 14:02:00,12
2019-05-25 14:03:00,11
2019-05-25 14:04:00,11
2019-05-25 14:05:00,11
2019-05-25 14:06:00,11
2019-05-25 14:07:00,11
2019-05-25 14:08:00,11
2019-05-25 14:09:00,11
2019-05-25 14:10:00,10
2019-05-25 14:11:00,5
2019-05-25 14:12:00,7
2019-05-25 14:13:00,2
2019-05-25 14:14:00,3
2019-05-25 14:15:00,5
2019-05-25 14:16:00,3
2019-05-25 14:17:00,2
2019-05-25 14:18:00,4
2019-05-25 14:19:00,4
2019-05-25 14:20:00,5
2019-05-25 14:21:00,5
2019-05-25 14:22:00,6
2019-05-25 14:23:00,8
2019-05-25 14:24:00,4
2019-05-25 14:25:00,7
2019-05-25 14:26:00,5
2019-05-25 14:27:00,7
2019-05-25 14:28:00,10
2019-05-25 14:29:00,3
2019-05-25 14:30:00,3
2019-05-25 14:31:00,6
2019-05-25 14:32:00,6
2019-05-25 14:33:00,5
2019-05-25 14:34:00,7
2019-05-25 14:35:00,5
2019-05-25 14:36:00,4
2019-05-25 14:37:00,6
2019-05-25 14:38:00,7
