6131,"SELECT g.ra, g.dec, dbo.fIAUFromEq (g.ra, g.dec) as name, n.distance, pz.z, pz.zErr, g.petroMag_r, dbo.fPhotoTypeN (g.type) as type FROM Galaxy AS g JOIN PhotoZ AS pz ON g.objid = pz.objid, fGetNearbyObjEq (#, #, #) AS n WHERE g.objID = n.objID"
2019-09-01 16:39:00,1
2019-09-01 16:42:00,3
2019-09-01 22:23:00,35
2019-09-01 22:24:00,32
2019-09-02 01:48:00,2
2019-09-03 03:58:00,1
2019-09-03 03:59:00,1
2019-09-03 04:06:00,1
2019-09-03 04:07:00,3
2019-09-03 04:08:00,1
2019-09-03 04:09:00,2
2019-09-03 04:10:00,2
2019-09-03 04:11:00,3
2019-09-03 04:12:00,1
2019-09-03 04:13:00,1
2019-09-03 04:14:00,1
2019-09-03 04:15:00,2
2019-09-03 04:16:00,1
2019-09-03 04:17:00,1
2019-09-03 04:18:00,1
2019-09-03 04:19:00,1
2019-09-03 04:20:00,2
2019-09-03 04:21:00,1
2019-09-03 04:22:00,1
2019-09-03 04:24:00,1
2019-09-03 04:25:00,1
2019-09-03 04:26:00,5
2019-09-03 05:12:00,6
2019-09-03 05:13:00,27
2019-09-03 05:14:00,4
2019-09-03 05:23:00,4
2019-09-03 05:24:00,8
2019-09-03 09:16:00,15
2019-09-03 09:17:00,12
2019-09-03 09:18:00,20
2019-09-03 09:19:00,22
2019-09-03 09:20:00,15
2019-09-03 09:21:00,8
2019-09-03 09:23:00,2
2019-09-03 09:24:00,23
2019-09-03 09:26:00,4
2019-09-03 09:27:00,27
2019-09-03 09:28:00,3
2019-09-03 09:29:00,23
2019-09-03 09:33:00,18
2019-09-03 09:34:00,10
2019-09-03 09:35:00,25
2019-09-03 09:37:00,26
2019-09-03 09:42:00,43
2019-09-03 09:43:00,41
2019-09-03 09:44:00,40
2019-09-03 09:45:00,19
2019-09-03 09:48:00,33
2019-09-03 09:49:00,45
2019-09-03 09:50:00,48
2019-09-03 09:51:00,41
2019-09-03 09:52:00,35
2019-09-03 09:53:00,39
2019-09-03 09:54:00,40
2019-09-03 09:55:00,39
2019-09-03 09:56:00,42
2019-09-03 09:57:00,40
2019-09-03 09:58:00,41
2019-09-03 09:59:00,22
2019-09-03 10:00:00,33
2019-09-03 10:01:00,38
2019-09-03 10:02:00,43
2019-09-03 10:03:00,43
2019-09-03 10:04:00,39
2019-09-03 10:05:00,40
2019-09-03 10:06:00,34
2019-09-03 10:07:00,40
2019-09-03 10:08:00,43
2019-09-03 10:09:00,37
2019-09-03 10:10:00,6
2019-09-03 10:11:00,4
2019-09-03 10:12:00,4
2019-09-03 10:13:00,5
2019-09-03 10:14:00,20
2019-09-03 10:15:00,42
2019-09-03 10:16:00,43
2019-09-03 10:17:00,43
2019-09-03 10:18:00,44
2019-09-03 10:19:00,31
2019-09-03 10:20:00,40
2019-09-03 10:21:00,38
2019-09-03 10:22:00,41
2019-09-03 10:23:00,40
2019-09-03 10:24:00,39
2019-09-03 10:25:00,40
2019-09-03 10:26:00,37
2019-09-03 10:27:00,41
2019-09-03 10:28:00,30
2019-09-03 10:29:00,35
2019-09-03 10:30:00,35
2019-09-03 10:31:00,40
2019-09-03 10:32:00,36
2019-09-03 10:33:00,37
2019-09-03 10:34:00,28
2019-09-03 10:35:00,38
2019-09-03 10:36:00,37
2019-09-03 10:37:00,41
2019-09-03 10:38:00,39
2019-09-03 10:39:00,37
2019-09-03 10:40:00,29
2019-09-03 10:41:00,39
2019-09-03 10:42:00,37
2019-09-03 10:43:00,36
2019-09-03 10:44:00,26
2019-09-03 10:45:00,29
2019-09-03 10:46:00,33
2019-09-03 10:47:00,35
2019-09-03 10:48:00,36
2019-09-03 10:49:00,35
2019-09-03 10:50:00,21
2019-09-03 22:18:00,6
2019-09-03 22:19:00,36
2019-09-03 22:20:00,36
2019-09-03 22:21:00,37
2019-09-03 22:22:00,37
2019-09-03 22:23:00,29
2019-09-03 22:54:00,25
2019-09-03 22:55:00,33
2019-09-03 22:56:00,34
2019-09-03 22:57:00,34
2019-09-03 22:58:00,36
2019-09-03 22:59:00,19
2019-09-03 23:34:00,29
2019-09-03 23:35:00,29
2019-09-03 23:36:00,29
2019-09-03 23:37:00,27
2019-09-03 23:38:00,40
2019-09-03 23:39:00,35
2019-09-03 23:40:00,35
2019-09-03 23:41:00,35
2019-09-03 23:42:00,38
2019-09-03 23:43:00,35
2019-09-03 23:44:00,35
2019-09-03 23:45:00,35
2019-09-03 23:46:00,32
2019-09-03 23:47:00,37
2019-09-03 23:48:00,39
2019-09-03 23:49:00,41
2019-09-03 23:50:00,38
2019-09-03 23:51:00,36
2019-09-03 23:52:00,38
2019-09-03 23:53:00,31
2019-09-03 23:54:00,33
2019-09-03 23:55:00,39
2019-09-03 23:56:00,39
2019-09-03 23:57:00,38
2019-09-03 23:58:00,41
2019-09-03 23:59:00,35
2019-09-04 00:00:00,36
2019-09-04 00:01:00,39
2019-09-04 00:02:00,40
2019-09-04 00:03:00,39
2019-09-04 00:04:00,35
2019-09-04 00:05:00,39
2019-09-04 00:06:00,42
2019-09-04 00:07:00,42
2019-09-04 00:08:00,40
2019-09-04 00:09:00,43
2019-09-04 00:10:00,38
2019-09-04 00:11:00,41
2019-09-04 00:12:00,35
2019-09-04 00:13:00,38
2019-09-04 00:14:00,17
2019-09-04 01:49:00,37
2019-09-04 01:50:00,39
2019-09-04 01:51:00,40
2019-09-04 01:52:00,36
2019-09-04 01:53:00,37
2019-09-04 01:54:00,22
2019-09-04 01:55:00,38
2019-09-04 01:56:00,36
2019-09-04 01:57:00,39
2019-09-04 01:58:00,36
2019-09-04 01:59:00,32
2019-09-04 02:00:00,34
2019-09-04 02:01:00,18
2019-09-04 02:02:00,33
2019-09-04 02:03:00,38
2019-09-04 02:04:00,39
2019-09-04 02:05:00,39
2019-09-04 02:06:00,38
2019-09-04 02:07:00,37
2019-09-04 02:08:00,33
2019-09-04 02:09:00,38
2019-09-04 02:10:00,38
2019-09-04 02:11:00,32
2019-09-04 02:12:00,33
2019-09-04 02:13:00,29
2019-09-04 02:14:00,27
2019-09-04 02:15:00,41
2019-09-04 02:16:00,32
2019-09-04 02:17:00,34
2019-09-04 02:18:00,8
2019-09-05 03:37:00,32
2019-09-05 03:38:00,36
2019-09-05 03:39:00,37
2019-09-05 03:40:00,35
2019-09-05 03:41:00,39
2019-09-05 03:42:00,38
2019-09-05 03:43:00,36
2019-09-05 03:44:00,38
2019-09-05 03:45:00,35
2019-09-05 03:46:00,33
2019-09-05 03:47:00,34
2019-09-05 03:48:00,34
2019-09-05 03:49:00,30
2019-09-05 03:50:00,2
2019-09-06 04:59:00,5
2019-09-06 05:00:00,12
2019-09-06 05:01:00,4
2019-09-06 05:02:00,9
2019-10-09 05:05:00,2
2019-10-09 05:06:00,28
